人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
师门秘室少林俗家守卫5	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫6	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫7	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫8	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家守卫9	普通npc	\image\enemy\223	2	130	60														
师门秘室少林俗家高手1	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手2	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手3	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手4	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手5	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手6	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手7	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手8	普通npc	\image\enemy\193	2	150	80														
师门秘室少林俗家高手9	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗守卫1	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫2	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫3	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫4	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫5	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫6	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫7	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫8	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗守卫9	普通npc	\image\enemy\223	2	130	60														
师门秘室少林禅宗高手1	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手2	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手3	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手4	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手5	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手6	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手7	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手8	普通npc	\image\enemy\193	2	150	80														
师门秘室少林禅宗高手9	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧守卫1	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫2	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫3	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫4	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫5	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫6	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫7	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫8	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧守卫9	普通npc	\image\enemy\223	2	130	60														
师门秘室少林武僧高手1	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手2	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手3	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手4	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手5	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手6	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手7	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手8	普通npc	\image\enemy\193	2	150	80														
师门秘室少林武僧高手9	普通npc	\image\enemy\193	2	150	80														
师门秘室唐门守卫1	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫2	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫3	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫4	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫5	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫6	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫7	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫8	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门守卫9	普通npc	\image\enemy\229	2	130	60														
师门秘室唐门高手1	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手2	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手3	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手4	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手5	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手6	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手7	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手8	普通npc	\image\enemy\197	2	150	80														
师门秘室唐门高手9	普通npc	\image\enemy\197	2	150	80														
师门秘室峨嵋佛家守卫1	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫2	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫3	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫4	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫5	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫6	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫7	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫8	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家守卫9	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋佛家高手1	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手2	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手3	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手4	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手5	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手6	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手7	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手8	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋佛家高手9	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家守卫1	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫2	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫3	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫4	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫5	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫6	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫7	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫8	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家守卫9	普通npc	\image\enemy\202	2	130	60														
师门秘室峨嵋俗家高手1	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手2	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手3	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手4	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手5	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手6	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手7	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手8	普通npc	\image\enemy\204	2	150	80														
师门秘室峨嵋俗家高手9	普通npc	\image\enemy\204	2	150	80														
师门秘室丐帮净衣守卫1	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫2	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫3	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫4	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫5	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫6	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫7	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫8	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣守卫9	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮净衣高手1	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手2	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手3	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手4	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手5	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手6	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手7	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手8	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮净衣高手9	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣守卫1	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫2	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫3	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫4	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫5	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫6	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫7	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫8	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣守卫9	普通npc	\image\enemy\232	2	130	60														
师门秘室丐帮污衣高手1	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手2	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手3	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手4	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手5	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手6	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手7	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手8	普通npc	\image\enemy\200	2	150	80														
师门秘室丐帮污衣高手9	普通npc	\image\enemy\200	2	150	80														
师门秘室武当道家守卫1	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫2	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫3	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫4	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫5	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫6	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫7	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫8	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家守卫9	普通npc	\image\enemy\226	2	130	60														
师门秘室武当道家高手1	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手2	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手3	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手4	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手5	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手6	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手7	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手8	普通npc	\image\enemy\194	2	150	80														
师门秘室武当道家高手9	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家守卫1	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫2	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫3	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫4	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫5	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫6	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫7	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫8	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家守卫9	普通npc	\image\enemy\226	2	130	60														
师门秘室武当俗家高手1	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手2	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手3	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手4	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手5	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手6	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手7	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手8	普通npc	\image\enemy\194	2	150	80														
师门秘室武当俗家高手9	普通npc	\image\enemy\194	2	150	80														
师门秘室杨门枪骑守卫1	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫2	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫3	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫4	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫5	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫6	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫7	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫8	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑守卫9	普通npc	\image\enemy\205	2	180	60														
师门秘室杨门枪骑高手1	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手2	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手3	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手4	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手5	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手6	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手7	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手8	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门枪骑高手9	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑守卫1	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫2	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫3	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫4	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫5	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫6	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫7	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫8	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑守卫9	普通npc	\image\enemy\206	2	180	60														
师门秘室杨门弓骑高手1	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手2	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手3	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手4	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手5	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手6	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手7	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手8	普通npc	\image\enemy\205	2	200	80														
师门秘室杨门弓骑高手9	普通npc	\image\enemy\205	2	200	80														
师门秘室五毒邪侠守卫1	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫2	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫3	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫4	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫5	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫6	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫7	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫8	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠守卫9	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒邪侠高手1	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手2	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手3	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手4	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手5	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手6	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手7	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手8	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒邪侠高手9	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师守卫1	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫2	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫3	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫4	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫5	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫6	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫7	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫8	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师守卫9	普通npc	\image\enemy\208	2	130	60														
师门秘室五毒蛊师高手1	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手2	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手3	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手4	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手5	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手6	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手7	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手8	普通npc	\image\enemy\209	2	150	80														
师门秘室五毒蛊师高手9	普通npc	\image\enemy\209	2	150	80														
龙门酒席大	普通npc	\image\passby\168	2	170	100														
龙门酒席小	普通npc	\image\passby\168	2	110	60														
圣火台	普通npc	\image\passby\200	2	150	60														
火炬台	普通npc	\image\passby\200	2	150	60														
盛世火炬台	普通npc	\image\passby\200	2	280	60														
中心灯笼	普通npc	\image\passby\viet\001	2	630	240														
幸运灯笼	普通npc	\image\passby\viet\001	2	220	80														
飞燕仙子	普通npc	\image\enemy\077	2	140	60														
带蜡烛烛台小	普通npc	\image\enemy\烛台	2	150	60														
无蜡烛烛台	普通npc	\image\enemy\烛台	2	90	60														
新玫瑰花小	普通npc	\image\passby\182	2	60	60														
新玫瑰花大	普通npc	\image\passby\182	2	60	60														
貂4	普通npc	\image\passby\233	2	100	80														
紫貂	普通npc	\image\passby\235	2	60	80														
灰貂	普通npc	\image\passby\235	2	60	80														
金貂	普通npc	\image\passby\235	2	60	80														
红貂	普通npc	\image\passby\235	2	60	80														
白貂	普通npc	\image\passby\235	2	60	80														
七彩貂	普通npc	\image\passby\235	2	60	80														
紫短尾貂	普通npc	\image\passby\235	2	60	80														
灰短尾貂	普通npc	\image\passby\235	2	60	80														
金短尾貂	普通npc	\image\passby\235	2	60	80														
红短尾貂	普通npc	\image\passby\235	2	60	80														
白短尾貂	普通npc	\image\passby\235	2	60	80														
七彩短尾貂	普通npc	\image\passby\235	2	60	80														
紫闪电貂	普通npc	\image\passby\235	2	60	80														
灰闪电貂	普通npc	\image\passby\235	2	60	80														
金闪电貂	普通npc	\image\passby\235	2	60	80														
红闪电貂	普通npc	\image\passby\235	2	60	80														
白闪电貂	普通npc	\image\passby\235	2	60	80														
七彩闪电貂	普通npc	\image\passby\235	2	60	80														
紫仙貂	普通npc	\image\passby\235	2	60	80														
灰仙貂	普通npc	\image\passby\235	2	60	80														
金仙貂	普通npc	\image\passby\235	2	60	80														
红仙貂	普通npc	\image\passby\235	2	60	80														
白仙貂	普通npc	\image\passby\235	2	60	80														
七彩仙貂	普通npc	\image\passby\235	2	60	80														
桃花树	普通npc	\image\passby\236	2	240	90														
柴凰儿	普通npc	\image\passby\237	2	140	60														
周子雯	普通npc	\image\passby\238	2	140	60														
胡曼成	普通npc	\image\passby\239	2	140	60														
刘青眉	普通npc	\image\passby\240	2	140	60														
何谐	普通npc	\image\passby\241	2	140	60														
巧巧	普通npc	\image\passby\242	2	140	60														
柴风儿	普通npc	\image\passby\243	2	140	60														
天元法阵石柱	普通npc	\image\passby\244	2	320	40														
司行方	普通npc	\image\passby\245	2	100	60														
邓元觉	普通npc	\image\passby\246	2	140	60														
师门秘室昆仑守卫	普通npc	\image\enemy\334	2	130	60														
师门秘室昆仑高手	普通npc	\image\enemy\331	2	150	80														
师门秘室明教圣战守卫	普通npc	\image\enemy\339	2	130	60														
师门秘室明教圣战高手	普通npc	\image\enemy\340	2	130	60														
师门秘室明教阵兵守卫	普通npc	\image\enemy\335	2	130	60														
师门秘室明教阵兵高手	普通npc	\image\enemy\336	2	130	60														
师门秘室明教血人守卫	普通npc	\image\enemy\337	2	130	60														
师门秘室明教血人高手	普通npc	\image\enemy\338	2	130	60														
翠烟师门杂兵1	普通npc	\image\enemy\332	2	130	60														
金阵旗	普通npc	\image\passby\234	2	140	50														
木阵旗	普通npc	\image\passby\234	2	140	50														
水阵旗	普通npc	\image\passby\234	2	140	50														
火阵旗	普通npc	\image\passby\234	2	140	50														
土阵旗	普通npc	\image\passby\234	2	140	50														
南宫晚晚	普通npc	\image\passby\341	3	130	60														
南宫紫娟	普通npc	\image\passby\342	3	130	60														
七色童子	普通npc	\image\enemy\076	2	130	60														
山熊	普通npc	\image\enemy\009	2	100	60														
雪猿	普通npc	\image\enemy\441	2	130	60														
九霞散人	普通npc	\image\enemy\442	2	150	75														
义侠耿云飞	普通npc	\image\enemy\444	2	130	80														
礼侠辛清冉	普通npc	\image\enemy\067	2	180	55														
智侠百晓生	普通npc	\image\enemy\087	2	180	80														
信侠梁尚玉	普通npc	\image\enemy\032	2	180	90														
黄龙客	普通npc	\image\enemy\175	2	150	75														
威天虫王	普通npc	\image\enemy\051	2	180	70														
圣天蛇王	普通npc	\image\enemy\053	2	180	70														
煞天猪王	普通npc	\image\enemy\070	3	180	70														
昆仑剑客	普通npc	\image\enemy\085	2	150	75														
水神祭祀	普通npc	\image\enemy\061	2	180	80														
火神祭祀	普通npc	\image\enemy\061	2	180	80														
无常侍从	普通npc	\image\enemy\134	2	150	75														
通天妖道吴越老祖	普通npc	\image\enemy\093	2	165	70														
无常书匣	普通npc	\image\item\drop\	2	120	200														
武器架	普通npc	\image\passby\343	2	120	15														
盾牌架	普通npc	\image\passby\344	2	120	15														
绿树叶	普通npc	\image\passby\345	2	80	30														
飞鞋	普通npc	\image\passby\346	2	80	30														
旗杆1	普通npc	\image\passby\347	2	280	30														
旗杆2	普通npc	\image\passby\347	2	280	30														
旗杆3	普通npc	\image\passby\347	2	280	30														
旗杆4	普通npc	\image\passby\347	2	280	30														
紫色生门	普通npc	\image\passby\348	2	300	30														
蓝色生门	普通npc	\image\passby\348	2	300	30														
紫色死门	普通npc	\image\passby\348	2	300	30														
蓝色死门	普通npc	\image\passby\348	2	300	30														
紫色景门	普通npc	\image\passby\348	2	300	30														
蓝色景门	普通npc	\image\passby\348	2	300	30														
紫色灭门	普通npc	\image\passby\348	2	300	30														
蓝色灭门	普通npc	\image\passby\348	2	300	30														
紫色阵旗	普通npc	\image\passby\349	2	460	40														
蓝色阵旗	普通npc	\image\passby\349	2	460	40														
紫色败旗	普通npc	\image\passby\349	2	460	40														
蓝色败旗	普通npc	\image\passby\349	2	460	40														
大木人	普通npc	\image\enemy\096	2	200	90														
楚风	普通npc	\image\passby\350	2	130	60														
耶律保图	普通npc	\image\enemy\064	2	160	55														
峨嵋小师姐	普通npc	\image\passby\351	2	130	60														
杨文超	普通npc	\image\passby\352	2	130	60														
莫惊风	普通npc	\image\enemy\445	2	200	90														
华南幼崽	普通npc	\image\enemy\446	2	110	45														
巨型雪猿	普通npc	\image\enemy\447	2	200	90														
彩霞羽	普通npc	\image\passby\353	2	100	80														
灵鳌石	普通npc	\image\passby\354	2	100	150														
仙人菜	普通npc	\image\passby\355	2	100	80														
妖灵水晶	普通npc	\image\passby\356	2	100	150														
昆仑石	普通npc	\image\passby\357	2	100	80														
昆仑玉	普通npc	\image\passby\358	2	100	150														
及时雨宋江	普通npc	\image\enemy\069	2	200	80														
智多星吴用	普通npc	\image\enemy\087	2	200	90														
九纹龙史进	普通npc	\image\enemy\175	2	200	80														
小旋风柴进	普通npc	\image\enemy\087	2	200	80														
醉半仙风一帆	普通npc	\image\enemy\448	2	200	80														
大刀关胜	普通npc	\image\enemy\063	4	200	60														
双鞭呼延灼	普通npc	\image\enemy\072	3	200	60														
豹子头林冲	普通npc	\image\enemy\063	4	200	60														
花和尚鲁智深	普通npc	\image\enemy\028	2	200	90														
病关索杨雄	普通npc	\image\enemy\136	2	200	90														
拚命三郎石秀	普通npc	\image\enemy\023	2	200	90														
一丈青扈三娘	普通npc	\image\enemy\076	2	200	80														
双枪将董平	普通npc	\image\enemy\067	2	200	60														
青面兽杨志	普通npc	\image\enemy\065	2	200	70														
霹雳火秦明	普通npc	\image\enemy\064	4	200	80														
神行太保戴宗	普通npc	\image\enemy\134	2	200	90														
母夜叉孙二娘	普通npc	\image\enemy\309	2	200	80														
张青	普通npc	\image\enemy\303	2	200	80														
尸王	普通npc	\image\enemy\321	2	200	100														
小鸡	普通npc	\image\animal\009	2	220	100														
小鸭	普通npc	\image\animal\011	2	220	100														
小鹅	普通npc	\image\animal\017	2	200	100														
小羊	普通npc	\image\animal\008	2	200	100														
水浒道具	普通npc	\image\enemy\129	2	180	30														
水浒开关	普通npc	\image\enemy\001	2	180	30														
吴仁迪	普通npc	\image\enemy\138	2	180	60														
小龙	普通npc	\image\enemy\long	2	80	12														
小凤	普通npc	\image\enemy\feng	2	80	5														
小虎	普通npc	\image\enemy\baihu	2	80	25														
小鹰	普通npc	\image\enemy\ying	2	80	10														
中龙	普通npc	\image\enemy\long	2	120	18														
中凤	普通npc	\image\enemy\feng	2	120	10														
中虎	普通npc	\image\enemy\baihu	2	120	40														
中鹰	普通npc	\image\enemy\ying	2	120	20														
大龙	普通npc	\image\enemy\long	2	160	25														
大凤	普通npc	\image\enemy\feng	2	160	15														
大虎	普通npc	\image\enemy\baihu	2	160	60														
大鹰	普通npc	\image\enemy\ying	2	160	30														
BOSS龙	普通npc	\image\enemy\long	4	200	60														
BOSS凤	普通npc	\image\enemy\feng	4	200	40														
BOSS虎	普通npc	\image\enemy\baihu	4	200	100														
BOSS鹰	普通npc	\image\enemy\ying	4	200	60														
德意宝贝	普通npc	\image\passby\414	2	130	60														
桑巴宝贝	普通npc	\image\passby\414	2	130	60														
阿根宝贝	普通npc	\image\passby\414	2	130	60														
不列颠宝贝	普通npc	\image\passby\414	2	130	60														
比萨宝贝	普通npc	\image\passby\414	2	130	60														
爱菲尔宝贝	普通npc	\image\passby\414	2	130	60														
风车宝贝	普通npc	\image\passby\414	2	130	60														
斗牛宝贝	普通npc	\image\passby\414	2	130	60														
葡国宝贝	普通npc	\image\passby\414	2	130	60														
世界杯宠物1	普通npc	\image\passby\415	2	130	60														
世界杯宠物2	普通npc	\image\passby\415	2	160	80														
风筝蓝	普通npc	\image\passby\416	2	200	80														
风筝红	普通npc	\image\passby\416	2	200	80														
风筝黄	普通npc	\image\passby\416	2	200	80														
