Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
辽军箭塔	191.mesh	191a.Mtl	191a.Ani						
高级粮草垛	190.mesh	190a.Mtl	190a.Ani						
被解救的宋难民	073.mesh	073a.Mtl	073b.Ani		S_HR	拐杖2			
被解救的辽难民	096.mesh	097a.Mtl	097b.Ani						
山贼首领	086.mesh	086b.Mtl	086b.Ani		086a_1	WQ086b	086a_2	WQ086b	
山贼喽罗	019.mesh	019d.Mtl	019d.Ani		019d	WQ019a			
难民	040.mesh	040a.Mtl	040a.Ani						
战场宝箱	113.mesh	113a.Mtl	113a.Ani						
废弃的火炮	192.mesh	192a.Mtl	192a.Ani						
活动透明人	128.mesh	128a.Mtl	128a.Ani						
一捆狼皮	npc_mod185.mesh	npc_mod185.Mtl	a.Ani						
一捆虎皮	npc_mod186.mesh	npc_mod186.Mtl	a.Ani						
一捆蛇皮	npc_mod187.mesh	npc_mod187.Mtl	a.Ani						
一捆狐皮	npc_mod188.mesh	npc_mod188.Mtl	a.Ani						
一捆白虎之皮	npc_mod189.mesh	npc_mod189.Mtl	a.Ani						
一捆熊皮	npc_mod190.mesh	npc_mod190.Mtl	a.Ani						
一捆鸾鸟羽披	npc_mod191.mesh	npc_mod191.Mtl	a.Ani						
一捆山狮之皮	npc_mod192.mesh	npc_mod192.Mtl	a.Ani						
一捆朱雀之羽	npc_mod193.mesh	npc_mod193.Mtl	a.Ani						
一捆灵鳌之皮	npc_mod194.mesh	npc_mod194.Mtl	a.Ani						
一捆兔毛	npc_mod195.mesh	npc_mod195.Mtl	a.Ani						
一捆蚕丝	npc_mod196.mesh	npc_mod196.Mtl	a.Ani						
一捆五色丝	npc_mod197.mesh	npc_mod197.Mtl	a.Ani						
一捆狼蛛丝	npc_mod198.mesh	npc_mod198.Mtl	a.Ani						
一捆血蚕丝	npc_mod199.mesh	npc_mod199.Mtl	a.Ani						
一捆灵蛛丝	npc_mod201.mesh	npc_mod201.Mtl	a.Ani						
一捆金蚕丝	npc_mod202.mesh	npc_mod202.Mtl	a.Ani						
一捆冷虫丝	npc_mod203.mesh	npc_mod203.Mtl	a.Ani						
一捆天蚕丝	npc_mod203.mesh	npc_mod203.Mtl	a.Ani						
一捆彩云丝	npc_mod205.mesh	npc_mod205.Mtl	a.Ani						
一堆精铁	npc_mod206.mesh	npc_mod206.Mtl	a.Ani						
一堆百炼钢	npc_mod206.mesh	npc_mod206.Mtl	a.Ani						
一堆乌金石	npc_mod206.mesh	npc_mod206.Mtl	a.Ani						
一堆寒铁	npc_mod207.mesh	npc_mod207.Mtl	a.Ani						
一堆太白精金	npc_mod207.mesh	npc_mod207.Mtl	a.Ani						
一堆玄铁	npc_mod208.mesh	npc_mod208.Mtl	a.Ani						
一堆天青石	npc_mod209.mesh	npc_mod209.Mtl	a.Ani						
一堆黑钨石	npc_mod207.mesh	npc_mod207.Mtl	a.Ani						
一堆松木	npc_mod210.mesh	npc_mod210.Mtl	a.Ani						
一堆杨木	npc_mod210.mesh	npc_mod210.Mtl	a.Ani						
一堆杉木	npc_mod210.mesh	npc_mod210.Mtl	a.Ani						
一堆铁木	npc_mod211.mesh	npc_mod211.Mtl	a.Ani						
一堆梧桐木	npc_mod211.mesh	npc_mod211.Mtl	a.Ani						
一堆重木	npc_mod211.mesh	npc_mod211.Mtl	a.Ani						
一堆铁樟木	npc_mod211.mesh	npc_mod211.Mtl	a.Ani						
一堆铁线木	npc_mod212.mesh	npc_mod212.Mtl	a.Ani						
一些巴豆	npc_mod213.mesh	npc_mod213.Mtl	a.Ani						
一些藏红花	npc_mod214.mesh	npc_mod214.Mtl	a.Ani						
一些桔梗	npc_mod215.mesh	npc_mod215.Mtl	a.Ani						
一些黄连	npc_mod216.mesh	npc_mod216.Mtl	a.Ani						
一些蝉蜕	npc_mod217.mesh	npc_mod217.Mtl	a.Ani						
一些田七	npc_mod218.mesh	npc_mod218.Mtl	a.Ani						
一些穿山甲	npc_mod219.mesh	npc_mod219.Mtl	a.Ani						
一些麝香	npc_mod220.mesh	npc_mod220.Mtl	a.Ani						
一袋光通麻	npc_mod221.mesh	npc_mod221.Mtl	a.Ani						
一袋倾篱豆	npc_mod221.mesh	npc_mod221.Mtl	a.Ani						
一袋绕明豆	npc_mod221.mesh	npc_mod221.Mtl	a.Ani						
一袋融泽谷	npc_mod222.mesh	npc_mod222.Mtl	a.Ani						
一袋甘蔗	npc_mod222.mesh	npc_mod222.Mtl	a.Ani						
一袋延精麦	npc_mod223.mesh	npc_mod223.Mtl	a.Ani						
一袋淳和麦	npc_mod224.mesh	npc_mod224.Mtl	a.Ani						
一袋游龙粟	npc_mod224.mesh	npc_mod224.Mtl	a.Ani						
灵符材料	114.mesh	114a.Mtl	114a.Ani						
仙符材料	114.mesh	114a.Mtl	114a.Ani						
神符材料	114.mesh	114a.Mtl	114a.Ani						
烂箱子	113.mesh	113a.Mtl	113a.Ani						
木箱子	113.mesh	113a.Mtl	113a.Ani						
集灵	053.mesh	053a.Mtl	053a.Ani						
挖矿	113.mesh	113a.Mtl	113a.Ani		113a	矿镐			
杀手堂香主	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
杀手堂副堂主	085.mesh	085c.Mtl	085c.Ani		S_HR	长剑6b			
人屠斧鬼虐	217.mesh	217a.Mtl	217a.Ani		S_RH	217aw			
金牌杀手	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
少林影子护卫	191.mesh	191a.mtl	191a.ani						
唐门影子护卫	197.mesh	197a.mtl	197a.ani						
峨嵋影子护卫	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
丐帮影子护卫	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
武当影子护卫	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
杨门影子护卫	205a.mesh	205aa.mtl	205aa.ani		S_HR	枪8a			
五毒影子护卫	209.mesh	209a.mtl	209a.ani		S_HR	双刀8a	S_HL	双刀8a	
关卡boss1	175.mesh	175b.Mtl	175b.Ani		S_HR	076_剑			
关卡boss2	061.mesh	061b.Mtl	061b.Ani						
关卡boss3	069.mesh	069a.Mtl	069a.Ani		S_HR	076_剑			
关卡boss41	170.mesh	170a.Mtl	170a.Ani		S_HR	076_剑			
关卡boss42	170.mesh	170b.Mtl	170b.Ani		S_HR	076_剑			
关卡boss5	097.mesh	097a.Mtl	097a.Ani						
关卡boss61	054.mesh	054a.Mtl	054a.ani						
关卡boss62	054.mesh	054b.Mtl	054b.ani						
关卡2小怪	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
关卡3小怪	039.mesh	039a.Mtl	039a.Ani		039a	WQ039a			
关卡4小怪	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
关卡5小怪	004.mesh	004a.Mtl	004a.Ani						
关卡5机关1	001b.mesh	001b.Mtl	001b.Ani						
关卡5机关2	001b.mesh	001b.Mtl	001b.Ani						
紫光阁宝箱	113.mesh	113a.Mtl	113a.Ani						
替补区小怪	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
攻占旗帜红	攻占旗帜红.mesh	攻占旗帜红.Mtl	攻占旗帜红.Ani						
攻占旗帜蓝	攻占旗帜蓝.mesh	攻占旗帜蓝.Mtl	攻占旗帜蓝.Ani						
城门大旗	城门大旗.mesh	城门大旗.Mtl	城门大旗.Ani						
城门机关	城门机关.Mesh	城门机关.Mtl	城门机关.Ani						
资源宝箱	113.mesh	113a.Mtl	113a.Ani						
西北壮汉	301.mesh	301.Mtl	301.Ani		 				
西北烟汉	300.mesh	300.Mtl	300.Ani		S_RH	300w			
一品堂密使	303.mesh	303b.Mtl	303b.Ani						
关外高手	302.mesh	302.Mtl	302.Ani		S_RH	302w			
一品堂暗杀使	303.mesh	303.Mtl	303.Ani		S_RH	303w	S_LH	303w	
盗墓人	304.mesh	304.Mtl	304.Ani		S_RH	304w			
西夏武士	305.mesh	305b.Mtl	305.Ani						
西夏勇士	305.mesh	305.Mtl	305.Ani						
药人	306.mesh	306.Mtl	306.Ani		 	 			
树人	058.mesh	058d.Mtl	058a.Ani						
沙漠行者	307.mesh	307.Mtl	307.Ani		S_RH	307w			
夺宝人	308.mesh	308.Mtl	308.Ani		S_RH	308wr	S_LH	308wl	
春十三娘	309.mesh	309.Mtl	309.Ani				S_LH	309w	
非常道人	310.mesh	310.Mtl	310.Ani		S_RH	310wr	S_LH	310wl	
古阳兽	312.mesh	312.Mtl	312.Ani						
虬须客	322.mesh	322.Mtl	322.Ani						
独臂	313.mesh	313.Mtl	313.Ani						
残腿	314.mesh	314.Mtl	314.Ani						
兵马俑领军	315.mesh	315.Mtl	315.Ani		S_RH	315w			
镇墓兽	317.mesh	317.Mtl	317.Ani						
镇墓领军	316.mesh	316.Mtl	316.Ani		S_RH	316w			
西夏法王	318.mesh	318.Mtl	318.Ani		S_RH	318w			
药人首领	323.mesh	323.Mtl	323.Ani		S_RH	323aw	 	 	
独行老驼	319.mesh	319.Mtl	319.Ani		S_RH	319wr			
五行使金	320.mesh	320.Mtl	320.Ani		S_RH	320aw			
五行使木	320.mesh	320b.Mtl	320.Ani		S_RH	320wb			
五行使水	320.mesh	320c.Mtl	320.Ani		S_RH	320wc			
五行使火	320.mesh	320d.Mtl	320.Ani		S_RH	320wd			
五行使土	320.mesh	320e.Mtl	320.Ani		S_RH	320we			
沙漠幻象(血魔人)	311.mesh	311b.Mtl	311.Ani						
沙漠幻象(鬼将军)	095.mesh	095b.Mtl	095a.Ani						
沙漠幻象(镇墓将军)	316.mesh	316b.Mtl	316.Ani		S_RH	316wb			
沙漠幻象(兵马俑将军)	315.mesh	315b.Mtl	315.Ani		S_RH	315wb			
沙漠幻象(古阳兽)	317.mesh	317b.Mtl	317.Ani						
幻象原形	321.mesh	321.Mtl	321.Ani						
血魔人	311.mesh	311.Mtl	311.Ani						
爪王	103.mesh	103a.Mtl	103a.Ani						
药人草	324.mesh	324.Mtl	324.Ani						
秦不智	176.mesh	176.Mtl	176.Ani						
陈不为	177.mesh	177.Mtl	177.Ani						
马不前	178.mesh	178.Mtl	178.Ani						
王不凡	179.mesh	179.Mtl	179.Ani						
昆仑男弟子	180.mesh	180.Mtl	180.Ani						
烈阳根灰	325.mesh	325.Mtl	325.Ani						
烈阳根黄	325.mesh	325b.Mtl	325.Ani						
烈阳根红	325.mesh	325c.Mtl	325.Ani						
袁飞云	326.mesh	326.Mtl	326.Ani						
骷髅王	068.mesh	068a.Mtl	068a.Ani						
怨魂之王	080a.mesh	080a.Mtl	080a.Ani						
药室看守人	306.mesh	306.Mtl	306b.Ani						
五行阵使	110.mesh	110.Mtl	110.Ani						
守墓人	083.mesh	083d.Mtl	083d.Ani						
守墓将军	316.mesh	316.Mtl	316c.Ani		S_RH	316w			
周不惑	087b.mesh	087b.Mtl	087b.Ani						
西北鬼将军	095.mesh	095a.Mtl	095a.Ani						
玫瑰花蓝	155.mesh	155d.Mtl	155a.Ani						
玫瑰花紫	155.mesh	155e.Mtl	155a.Ani						
回风寨杂兵	039.mesh	039a.Mtl	039a.Ani		039a	WQ039a			
回风寨精英	019.mesh	019a.Mtl	019a.Ani		019a	WQ019a			
回风寨队长	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
马厩守卫	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
矿山守卫	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
粮仓守卫	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
伐木场守卫	175.mesh	175a.Mtl	175a.Ani		S_HR	175aw			
回风寨统领	065.mesh	065a.Mtl	065a.Ani		S_HR	065刀			
古阳兽关卡1	312.mesh	312.Mtl	312.Ani						
裂岩螭龙关卡	048.mesh	048c.Mtl	048a.Ani						
赤炼火狐关卡	049.mesh	049c.Mtl	049a.Ani						
暗日使关卡	030.mesh	030a.Mtl	030a.Ani		030a	WQ030a			
明月使关卡	030.mesh	030b.Mtl	030b.Ani		030b	圣火令01			
血魔人关卡	311.mesh	311.Mtl	311.Ani						
镇墓兽关卡	317.mesh	317.Mtl	317.Ani						
守柱统领	315.mesh	315.Mtl	315.Ani		S_RH	315w			
镇墓柱	182.mesh	182.Mtl	182.Ani						
鬼将军关卡	095.mesh	095a.Mtl	095a.Ani						
烛台大	181a.mesh	181a.Mtl	181a.Ani 						
烛台中	181a.mesh	181a.Mtl	181a.Ani 						
烛台小	181a.mesh	181a.Mtl	181a.Ani 						
烛台	181b.mesh	181b.Mtl	181a.Ani 						
东北镇墓将军	316.mesh	316.Mtl	316.Ani		S_RH	316w			
东南镇墓将军	316.mesh	316.Mtl	316.Ani		S_RH	316w			
西北镇墓将军	316.mesh	316.Mtl	316.Ani		S_RH	316w			
西南镇墓将军	316.mesh	316.Mtl	316.Ani		S_RH	316w			
鬼随从	095.mesh	095a.Mtl	095a.Ani						
鬼傀儡	095.mesh	095a.Mtl	095a.Ani						
鬼侍从	095.mesh	095a.Mtl	095a.Ani						
鬼仆人	095.mesh	095a.Mtl	095a.Ani						
药王关卡	106.mesh	106a.Mtl	106a.Ani						
药人王关卡	306.mesh	306.Mtl	306.Ani						
五行金使关卡	320.mesh	320.Mtl	320.Ani		S_RH	320aw			
五行木使关卡	320.mesh	320b.Mtl	320.Ani		S_RH	320wb			
五行水使关卡	320.mesh	320c.Mtl	320.Ani		S_RH	320wc			
五行火使关卡	320.mesh	320d.Mtl	320.Ani		S_RH	320wd			
五行土使关卡	320.mesh	320e.Mtl	320.Ani		S_RH	320we			
金旗使	320.mesh	320.Mtl	320.Ani		S_RH	320aw			
木旗使	320.mesh	320b.Mtl	320.Ani		S_RH	320wb			
水旗使	320.mesh	320c.Mtl	320.Ani		S_RH	320wc			
火旗使	320.mesh	320d.Mtl	320.Ani		S_RH	320wd			
土旗使	320.mesh	320e.Mtl	320.Ani		S_RH	320we			
沙漠幻象关卡1	321.mesh	321.Mtl	321.Ani						
沙漠幻象关卡2	321.mesh	321.Mtl	321.Ani						
沙漠宝箱	113.mesh	113a.Mtl	113a.Ani						
寻宝人关卡	308.mesh	308.Mtl	308.Ani		S_RH	308wr	S_LH	308wl	
血魔人幻象	311.mesh	311b.Mtl	311.Ani						
鬼将军幻象	095.mesh	095b.Mtl	095a.Ani						
镇墓将军幻象	316.mesh	316b.Mtl	316.Ani		S_RH	316wb			
兵马俑统领幻象	315.mesh	315b.Mtl	315.Ani		S_RH	315wb			
镇墓兽幻象	317.mesh	317b.Mtl	317.Ani						
李元庆	327.mesh	327.Mtl	327.Ani		S_RH	327w			
男狐妖	328.mesh	328.Mtl	328.Ani		S_HR	328w			
女狐仙	329.mesh	329.Mtl	329.Ani		S_HR	329w			
大考官兔总管	181.mesh	181.Mtl	181.Ani				S_HL	181w	
豪华甄子丹	126b.mesh	126b.Mtl	126b.Ani				S_LH	126aw	
师门秘室少林俗家守卫1	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫2	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫3	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫4	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫5	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫6	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫7	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫8	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家守卫9	190.mesh	190.Mtl	190c.Ani		S_HR	单刀7a			
师门秘室少林俗家高手1	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手2	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手3	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手4	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手5	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手6	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手7	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手8	191.mesh	191a.mtl	191a.ani						
师门秘室少林俗家高手9	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗守卫1	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫2	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫3	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫4	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫5	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫6	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫7	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫8	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗守卫9	190.mesh	190.Mtl	190b.Ani		S_HR	锡杖7a			
师门秘室少林禅宗高手1	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手2	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手3	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手4	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手5	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手6	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手7	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手8	191.mesh	191a.mtl	191a.ani						
师门秘室少林禅宗高手9	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧守卫1	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫2	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫3	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫4	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫5	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫6	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫7	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫8	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧守卫9	190.mesh	190.Mtl	190a.Ani						
师门秘室少林武僧高手1	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手2	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手3	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手4	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手5	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手6	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手7	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手8	191.mesh	191a.mtl	191a.ani						
师门秘室少林武僧高手9	191.mesh	191a.mtl	191a.ani						
师门秘室唐门守卫1	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫2	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫3	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫4	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫5	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫6	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫7	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫8	196.mesh	196.Mtl	196.Ani						
师门秘室唐门守卫9	196.mesh	196.Mtl	196.Ani						
师门秘室唐门高手1	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手2	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手3	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手4	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手5	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手6	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手7	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手8	197.mesh	197a.mtl	197a.ani						
师门秘室唐门高手9	197.mesh	197a.mtl	197a.ani						
师门秘室峨嵋佛家守卫1	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫2	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫3	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫4	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫5	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫6	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫7	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫8	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家守卫9	202.mesh	202.mtl	202a.ani		S_HR	长剑7a			
师门秘室峨嵋佛家高手1	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手2	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手3	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手4	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手5	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手6	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手7	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手8	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋佛家高手9	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家守卫1	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫2	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫3	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫4	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫5	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫6	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫7	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫8	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家守卫9	202.mesh	202.mtl	202b.ani		S_HR	琴7a			
师门秘室峨嵋俗家高手1	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手2	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手3	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手4	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手5	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手6	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手7	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手8	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室峨嵋俗家高手9	204.mesh	204a.mtl	204a.ani		S_HR	长剑8a			
师门秘室丐帮净衣守卫1	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫2	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫3	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫4	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫5	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫6	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫7	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫8	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣守卫9	199.mesh	199.Mtl	199a.Ani						
师门秘室丐帮净衣高手1	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手2	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手3	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手4	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手5	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手6	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手7	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手8	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮净衣高手9	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣守卫1	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫2	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫3	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫4	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫5	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫6	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫7	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫8	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣守卫9	199.mesh	199.Mtl	199.Ani		S_HR	棍5a			
师门秘室丐帮污衣高手1	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手2	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手3	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手4	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手5	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手6	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手7	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手8	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室丐帮污衣高手9	200.mesh	200a.mtl	200a.ani		S_HR	棍8a			
师门秘室武当道家守卫1	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫2	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫3	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫4	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫5	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫6	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫7	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫8	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家守卫9	193.mesh	193.Mtl	193.Ani		S_HR	长剑7a			
师门秘室武当道家高手1	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
师门秘室武当道家高手2	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
