Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng Th­¬ng ¦ng So¸i Hæ	0	102	30066	10	10000	0	100						30082	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i Hæ	0	102	30067	10	10000	0	100						30083	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i lÖnh	0	102	30068	10	10000	0	100						30080	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i lÖnh	0	102	30069	10	10000	0	100						30081	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i lÖnh	0	102	30070	10	10000	0	100						30082	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i lÖnh	0	102	30071	10	10000	0	100						30083	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i phï	0	102	30072	10	10000	0	100						30080	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i phï	0	102	30073	10	10000	0	100						30081	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i phï	0	102	30074	10	10000	0	100						30082	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i phï	0	102	30075	10	10000	0	100						30083	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i kú 	0	102	30076	10	10000	0	100						30080	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i kú 	0	102	30077	10	10000	0	100						30081	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i kú 	0	102	30078	10	10000	0	100						30082	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i kú 	0	102	30079	10	10000	0	100						30083	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong kú	0	102	30080	10	10000	0	100						30084	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì1_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong kú		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong kú	0	102	30081	10	10000	0	100						30085	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì1_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong kú		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong kú	0	102	30082	10	10000	0	100						30086	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì1_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong kú		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong kú	0	102	30083	10	10000	0	100						30087	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì1_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong kú		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong phï	0	102	30084	10	10000	0	100						30084	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û1_A1.spr	\image\item\ring\²ÔÓ¥»¢·û1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong phï	0	102	30085	10	10000	0	100						30085	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û1_A1.spr	\image\item\ring\²ÔÓ¥»¢·û1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong phï	0	102	30086	10	10000	0	100						30086	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û1_A1.spr	\image\item\ring\²ÔÓ¥»¢·û1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng Tiªn Phong phï	0	102	30087	10	10000	0	100						30087	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û1_A1.spr	\image\item\ring\²ÔÓ¥»¢·û1_A0.spr	Th­¬ng ¦ng ThÇn ban cho Tiªn Phong phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	8	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n lÖnh	0	102	30088	10	10000	0	100						30088	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n lÖnh	0	102	30089	10	10000	0	100						30089	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n lÖnh	0	102	30090	10	10000	0	100						30090	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n lÖnh	0	102	30091	10	10000	0	100						30091	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n kú	0	102	30092	10	10000	0	100						30088	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n kú		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n kú	0	102	30093	10	10000	0	100						30089	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n kú		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n kú	0	102	30094	10	10000	0	100						30090	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n kú		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n kú	0	102	30095	10	10000	0	100						30091	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì2_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n kú		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n phï	0	102	30096	10	10000	0	100						30088	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û2_A1.spr	\image\item\ring\²ÔÓ¥»¢·û2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n phï		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n phï	0	102	30097	10	10000	0	100						30089	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û2_A1.spr	\image\item\ring\²ÔÓ¥»¢·û2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n phï		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n phï	0	102	30098	10	10000	0	100						30090	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û2_A1.spr	\image\item\ring\²ÔÓ¥»¢·û2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n phï		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n phï	0	102	30099	10	10000	0	100						30091	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û2_A1.spr	\image\item\ring\²ÔÓ¥»¢·û2_A0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n phï		§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng So¸i Hæ	0	102	30100	10	10000	0	100						30092	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i Hæ	0	102	30101	10	10000	0	100						30093	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i Hæ	0	102	30102	10	10000	0	100						30094	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i Hæ	0	102	30103	10	10000	0	100						30095	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i Hæ 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i lÖnh	0	102	30104	10	10000	0	100						30092	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i lÖnh	0	102	30105	10	10000	0	100						30093	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i lÖnh	0	102	30106	10	10000	0	100						30094	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i lÖnh	0	102	30107	10	10000	0	100						30095	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÆì3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÆì3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i lÖnh		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i phï 	0	102	30108	10	10000	0	100						30092	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i phï 	0	102	30109	10	10000	0	100						30093	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i phï 	0	102	30110	10	10000	0	100						30094	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i phï 	0	102	30111	10	10000	0	100						30095	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥»¢·û3_A1.spr	\image\item\ring\²ÔÓ¥»¢·û3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i phï 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i kú 	0	102	30112	10	10000	0	100						30092	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i kú 	0	102	30113	10	10000	0	100						30093	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i kú 	0	102	30114	10	10000	0	100						30094	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i kú 	0	102	30115	10	10000	0	100						30095	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A1.spr	\image\item\ring\²ÔÓ¥ÁîÅÆ3_A0.spr	Th­¬ng ¦ng ThÇn ban cho So¸i kú 		§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Bİ Ph¸p Ngäc Béi	0	102	23111	5	2000	0	50						23111	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Ngäc béi ®Ö tö cÊp cao C«n L«n Thiªn S­ chuyªn dïng, cã chøa ph¸p lùc ®Æc biÖt, hµng yªu trõ ma.		§· khãa		6	2	1	23	0					
Bİ Ph¸p Ngäc Béi	0	102	23112	5	2000	0	50						23112	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Ngäc béi ®Ö tö cÊp cao C«n L«n Thiªn S­ chuyªn dïng, cã chøa ph¸p lùc ®Æc biÖt, hµng yªu trõ ma.		§· khãa		6	2	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Linh Ngäc Béi	0	102	23121	10	10000	0	100						23121	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, ngäc béi trªn ng­êi cã chøa ®¹o ph¸p v« biªn, yªu ma nh×n thÊy ®Òu tr¸nh xa.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Linh Ngäc Béi	0	102	23122	10	10000	0	100						23122	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, ngäc béi trªn ng­êi cã chøa ®¹o ph¸p v« biªn, yªu ma nh×n thÊy ®Òu tr¸nh xa.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Linh B¶o Giíi	0	102	23125	10	10000	0	100						23121	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, nhÉn quı trªn ng­êi cã chøa ®¹o ph¸p v« biªn, yªu ma nh×n thÊy ®Òu tr¸nh xa.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Linh B¶o Giíi	0	102	23126	10	10000	0	100						23122	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	TrÊn Yªu §¹o Nh©n hµng yªu v« sè, nhÉn quı trªn ng­êi cã chøa ®¹o ph¸p v« biªn, yªu ma nh×n thÊy ®Òu tr¸nh xa.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	2	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Nguyªn Ngäc Béi	0	102	23131	10	10000	0	100						23131	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi giã, uy chÊn tam giíi, ngäc béi trªn ng­êi quı hiÕm gäi lµ Thiªn Nguyªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Nguyªn Ngäc Béi	0	102	23132	10	10000	0	100						23132	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi giã, uy chÊn tam giíi, ngäc béi trªn ng­êi quı hiÕm gäi lµ Thiªn Nguyªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Nguyªn B¶o Giíi	0	102	23135	10	10000	0	100						23131	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi giã, uy chÊn tam giíi, nhÉn quı trªn ng­êi quı hiÕm gäi lµ Thiªn Nguyªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	23	0					
Tö Vi §¹o Nh©n - Thiªn Nguyªn B¶o Giíi	0	102	23136	10	10000	0	100						23132	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Tö Vi §¹o Nh©n khi tÕ trêi h« m­a gäi giã, uy chÊn tam giíi, nhÉn quı trªn ng­êi quı hiÕm gäi lµ Thiªn Nguyªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	23	0					
Hång M«ng Ch©n Nh©n - HuyÒn Thiªn Ngäc Béi	0	102	23141	10	10000	0	100						23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Ngäc béi Hång M«ng Ch©n Nh©n dïng cã chøa tö khİ v« biªn, khiÕn yªu ma khiÕp sî, tªn lµ HuyÒn Thiªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
Hång M«ng Ch©n Nh©n - HuyÒn Thiªn Ngäc Béi	0	102	23142	10	10000	0	100						23142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Ngäc béi Hång M«ng Ch©n Nh©n dïng cã chøa tö khİ v« biªn, khiÕn yªu ma khiÕp sî, tªn lµ HuyÒn Thiªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
Hång M«ng Ch©n Nh©n - HuyÒn Thiªn B¶o Giíi	0	102	23145	10	10000	0	100						23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Ngäc béi Hång M«ng Ch©n Nh©n dïng cã chøa tö khİ v« biªn, khiÕn yªu ma khiÕp sî, tªn lµ HuyÒn Thiªn.		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
