Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
TÊt Tiªu	0	12	5	60	16	0	155	0	52;101	25;47	1	87		34			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_005a1.spr	\image\item\weapon\Wea_di_005a0.spr	Tiªu dïng cho cung ®×nh, lµm b»ng ®ång, ngoµi phñ s¬n ®á	µÑ4a	Tiªu		4	0	0	30	0					
§ång Tiªu	0	12	6	70	24	0	170	0	64;129	29;62	1	87		40			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_007a1.spr	\image\item\weapon\Wea_di_007a0.spr	Tiªu dïng cho cung ®×nh, d¸ng tùa khæng t­íc	µÑ5a	Tiªu		4	0	0	30	0					
Gi¸c Thİch	0	12	7	80	35	0	190	0	80;158	37;77	1	87		46			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_008a1.spr	\image\item\weapon\Wea_di_008a0.spr	Tiªu cña téc tr­ëng Miªu C­¬ng, lµm b»ng x­¬ng thó, ©m thanh trÇm l¾ng	µÑ5b	Tiªu		5	0	0	30	0					
Lam Linh	0	12	8	90	53	0	200	0	95;190	45;84	1	87		52			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_006a1.spr	\image\item\weapon\Wea_di_006a0.spr	Lµm b»ng b¹c nguyªn chÊt, ©m thanh trong trÎo, say ®¾m lßng ng­êi	µÑ6a	Tiªu		5	0	0	30	0					
HuyÒn Hång	0	12	9	100	76	0	210	0	113;225	59;99	1	87		58			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_009a1.spr	\image\item\weapon\Wea_di_009a0.spr	Tiªu truyÒn nhËp tõ T©y Vùc, hai ®Çu h¬i lín, ©m trÇm ®ôc, hiÕm thÊy	µÑ6b	Tiªu		6	0	0	30	0					
Thóy Ngäc	0	12	10	110	102	0	230	0	131;261	66;125	1	87		64			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu lµm tõ ngäc bİch xanh biÕc, ©m thanh rĞo r¾t	µÑ7a	Tiªu		6	0	0	30	0					
Ng©n Ti	0	12	11	120	4621	0	250	0	152;303	71;155	1	87		70			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu b»ng b¹c nguyªn chÊt, cã sîi vµng quÊn quanh, chÕ t¸c tuyÖt mü, ng­êi së h÷u n¨ng lùc t¨ng m¹nh	µÑ10b	Tiªu		7	0	0	30	0					
Minh B¨ng	0	12	12	130	6001	0	270	0	158;318	84;162	1	87		76			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Lµm tõ san h« xanh, trªn kh¶m c¸ sÊu lín, lµ vËt dông cña bËc cao nh©n ®¾c ®¹o	µÑ8b	Tiªu		8	0	0	30	0					
Xİch Tiªu	0	12	13	130	9000	0	270	0	166;331	85;170	1	87		86			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Tiªu b»ng vµng, do Viªm §Õ truyÒn l¹i, trªn kh¶m rång ®á, b¸ khİ ®Õ v­¬ng	µÑ9a	Tiªu		9	0	0	30	0					
UÈn H­¬ng	0	12	14	130	9000	0	270	0	173;345	88;175	1	87		96			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu b»ng ngäc th­îng h¹ng, ©m thanh m­ît mµ thanh tho¸t, lµ vËt dông cña bËc tiªn nh©n	µÑ7a	Tiªu		10	0	0	30	0					
TÇm H­¬ng	0	12	30101	30	2	0	200	0	64;129	29;62	1	87	30101	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_003a1.spr	\image\item\weapon\Wea_di_003a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp thÊp, bÒ ngoµi bãng m­ît, ©m thanh dŞu nhÑ.	µÑ3a	§· khãa		4	2	1	30	0					
TÇm H­¬ng	0	12	30102	30	2	0	200	0	64;129	29;62	1	87	30102	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_003a1.spr	\image\item\weapon\Wea_di_003a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp thÊp, bÒ ngoµi bãng m­ît, ©m thanh dŞu nhÑ.	µÑ3a	§· khãa		4	2	1	30	0					
Th¸m Ngäc	0	12	30111	40	5000	0	250	0	131;261	66;125	1	87	30111	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp cao, mµu xanh biÕc, bãng m­ît v« cïng.	µÑ7a	§· khãa		6	2	1	30	0					
Th¸m Ngäc	0	12	30112	40	5000	0	250	0	131;261	66;125	1	87	30112	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp cao, mµu xanh biÕc, bãng m­ît v« cïng.	µÑ7a	§· khãa		6	2	1	30	0					
Ngäc MÉu §¬n	0	12	30121	50	15000	0	300	0	158;318	84;162	1	87	30121	76	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Tiªu ngäc cña Nghªnh H­¬ng Sø, trªn cã d©y leo quÊn quanh cïng víi mét ®ãa mÉu ®¬n lín.	µÑ8b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	0	1	30	0					
Ngäc MÉu §¬n	0	12	30122	50	15000	0	300	0	158;318	84;162	1	87	30122	76	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Tiªu ngäc cña Nghªnh H­¬ng Sø, trªn cã d©y leo quÊn quanh cïng víi mét ®ãa mÉu ®¬n lín.	µÑ8b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	0	1	30	0					
B¨ng T©m Ngäc N÷ - Ng©n Linh Tr­êng §Şch	0	12	30131	50	18000	0	300	0	166;331	85;170	1	87	30131	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu cña B¨ng T©m Ngäc N÷, trang trİ tr©n ch©u ngäc quı, ®­îc gäi lµ Ng©n Linh.	µÑ10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	2	1	30	0					
B¨ng T©m Ngäc N÷ - Ng©n Linh Tr­êng §Şch	0	12	30132	50	18000	0	300	0	166;331	85;170	1	87	30132	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu cña B¨ng T©m Ngäc N÷, trang trİ tr©n ch©u ngäc quı, ®­îc gäi lµ Ng©n Linh.	µÑ10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	2	1	30	0					
Linh §éng T«n Gi¶ Phi V©n Linh §Şch	0	12	30141	50	50000	0	300	0	173;345	88;175	1	87	30141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu cña Vò Hån Linh §éng T«n Gi¶, tªn gäi Phi V©n.	µÑ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0					
Linh §éng T«n Gi¶ Phi V©n Linh §Şch	0	12	30142	50	50000	0	300	0	173;345	88;175	1	87	30142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu cña Vò Hån Linh §éng T«n Gi¶, tªn gäi Phi V©n.	µÑ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0					
Hiªn Viªn Phån Hoa §Şch	0	12	8821	50	25000	0	270	0	166;331	85;170	1	87	88021	70				\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Tiªu lµm tõ m¶nh thÇn binh th­îng cæ sãt l¹i, tiÕng s¸o ©m vang, tªn gäi Phån Hoa.	µÑ9a	Tiªu		9	2	1	30	0					
Phån Hoa Tiªu	0	12	8871	50	25000	0	270	0	166;331	85;170	1	87	88071	90				\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	B¾t ch­íc chÕ t¹o Hiªn Viªn vò khİ, thªm linh khİ Tö quang thÇn thó, cã thÓ ®em so s¸nh víi vËt thËt	µÑ9a	Tiªu		9	2	1	30	0					
Cöu Tiªu S¸o	0	12	8926	120	4621	0	300	0	158;318	84;162	1	87	161	75			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ10b	Tiªu		8		1	30	0					
Tinh Kh¾c-Cöu Tiªu S¸o	0	12	8927	130	6001	0	300	0	166;331	85;170	1	87	162	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ8b	Tiªu		8	2	1	30	0					
Thiªn NghÜa-Cöu Tiªu S¸o	0	12	8928	130	9000	0	300	0	173;345	88;175	1	87	163	85			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ9a	Tiªu		9	2	1	30	0					
Linh Lung Chi	0	13	8929	130	4573	0	300	0	204;408	175;350	1	87	164	75			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_007a1.spr	\image\item\weapon\Wea_lingzhi_007a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦8b	Linh Chi		8		1	29	0					
Tinh Kh¾c-Linh Lung Chi	0	13	8930	140	6001	0	300	0	213;427	183;366	1	87	165	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_008a1.spr	\image\item\weapon\Wea_lingzhi_008a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦8a	Linh Chi		8	2	1	29	0					
Thiªn NghÜa-Linh Lung Chi	0	13	8931	140	9000	0	300	0	224;448	191;382	1	87	166	85			T©n thñ kh«ng thÓ dïng	\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦9a	Linh Chi		9	2	1	29	0					
Cöu Ch©u-L­u Ly Giíi §ao	0	3	8932	200	9000	0	300	0	252;505		1	100	178	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_01a1.spr	\image\item\weapon\wea_5v5liupai_01a0.spr	B¶o ®ao bİch huyÒn, ®ao phong phËt ı, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÉÙÁÖµ¶10	§¬n ®ao		9	1	1	2	0					
Cöu Ch©u-L«i ¢m Nang Thñ	0	0	8933	50	9000	0	300	0	261;522	224;448	1	90	179	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_03a1.spr	\image\item\weapon\wea_5v5liupai_03a0.spr	PhËt m«n hé thñ khi xuÊt chiªu cã thÓ ph¸t ra thiÒn ©m, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	¿ÕÊÖ	Hé thñ		9	1	1	4	0					
Cöu Ch©u-Kinh L«i ThiÒn Tr­îng	0	8	8934	100	9000	0	300	0	187;374	257;514	1	86	180	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_04a1.spr	\image\item\weapon\wea_5v5liupai_04a0.spr	Linh khİ vËt m«n cã thÓ dÉn l«i tru tµ, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÉÙÁÖìø10	Tİch tr­îng		9	1	1	3	0					
Cöu Ch©u-¢m D­¬ng Xuyªn ¶nh	0	1	8935	50	25000	0	300	0	152;305		1	80	181	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_06a1.spr	\image\item\weapon\wea_5v5liupai_06a0.spr	DŞ vùc ¸m khİ, v« ¶nh tµng kim, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	°µÆ÷	¸m khİ		9	1	1	6	0					
Cöu Ch©u-Tõ Hµn ¢m KiÕm	0	2	8936	90	9000	0	300	0	165;330	291;582	11	86	182	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_08a1.spr	\image\item\weapon\wea_5v5liupai_08a0.spr	S¸ng nh­ ngäc, l¹nh nh­ thñy, b¶o kiÕm tiªn n÷ chuyªn dông, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	¶ëÃ¼½£10	Tr­êng kiÕm		9	1	1	8	0					
Cöu Ch©u-Cöu Hoµn Bèi CÇm	0	10	8937	140	9000	0	300	1	191;382	222;445	1	90	183	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_09a1.spr	\image\item\weapon\wea_5v5liupai_09a0.spr	TruyÒn thÕ b¶o cÇm, khóc tËn kinh ph¸ lan, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	¶ëÃ¼ÇÙ10	CÇm		9	1	1	9	0					
Cöu Ch©u-Quy L©n Hé Thñ	0	0	8938	50	9000	0	300	0	261;522	224;448	1	90	184	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_11a1.spr	\image\item\weapon\wea_5v5liupai_11a0.spr	Hé thñ linh ®­îc rÌn tõ vÈy l©n cña huyÒn quy ngh×n n¨m ®«ng h¶i, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	¿ÕÊÖ	Hé thñ		9	1	1	11	0					
Cöu Ch©u-TrÊn Ng¹o C«n	0	5	8939	200	9000	0	300	0	205;410		1	84	185	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_12a1.spr	\image\item\weapon\wea_5v5liupai_12a0.spr	Lôc huyÒn ngäc c«n, cã kh¶ n¨ng hiÖu lÖnh c¶ C¸i Bang, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Ø¤°ï¹÷10	C«n		9	1	1	12	0					
Cöu Ch©u-ThuÇn Phong KiÕm	0	2	8940	90	9000	0	300	0	165;330	291;582	1	86	186	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_14a1.spr	\image\item\weapon\wea_5v5liupai_14a0.spr	Ph¸p kiÕm ®­îc rÌn tõ tinh hoa nhËt nguyÖt cña th¸i cùc Vâ §ang, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	Îäµ±½£10	Tr­êng kiÕm		9	1	1	14	0					
Cöu Ch©u-Tinh §Èu ChuyÓn Bót	0	9	8941	130	9000	0	300	0	172;345		1	110	187	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_15a1.spr	\image\item\weapon\wea_5v5liupai_15a0.spr	ThÇn bót vÉy mùc tèi trêi, sinh long ho¹t hæ, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îäµ±±Ê10	Bót		9	1	1	15	0					
Cöu Ch©u-Ph¸ Qu©n TrËn Th­¬ng	0	6	8942	130	9000	0	300	0	135;405		1	95	188	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_17a1.spr	\image\item\weapon\wea_5v5liupai_17a0.spr	Tr­êng th­¬ng kh¾c s©u chiÕn tİch cña D­¬ng Gia dòng t­íng s¸t ®Şch b×nh thiªn h¹, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÑîÃÅÇ¹10	Th­¬ng		9	1	1	17	0					
Cöu Ch©u-Truy MÖnh Cung	0	4	8943	130	9000	0	300	1	175;350		1	86	189	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_18a1.spr	\image\item\weapon\wea_5v5liupai_18a0.spr	Cung vang tùa long ng©m, vò tiÔn ph¸ thiªn s¬n, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÑîÃÅ¹­10	Cung		9	1	1	18	0					
Cöu Ch©u-ThiÖp Cèt HuyÕt §ao	0	7	8944	215	9000	0	300	2	187;374	261;522	1	105	190	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_20a1.spr	\image\item\weapon\wea_5v5liupai_20a0.spr	Ma ®ao mang tró o¸n cña v« sè oan hån, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îå¶¾µ¶10	Song ®ao		9	1	1	20	0					
Cöu Ch©u-LuyÖn Hån HuyÕt Tr¶o	0	11	8945	215	9000	0	300	2	187;374	224;448	1	105	191	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_21a1.spr	\image\item\weapon\wea_5v5liupai_21a0.spr	HuyÒn tr¶o phong Ên v« sè oan hån, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îå¶¾×¦10	Tr¶o		9	1	1	21	0					
Cöu Ch©u-Ngù Thiªn Phong KiÕm	0	2	8946	90	9000	0	300	0	165;330	291;582	1	86	192	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_23a1.spr	\image\item\weapon\wea_5v5liupai_23a0.spr	B¶o kiÕm tiªn nh©n trong truyÒn thuyÕt, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	À¥ÂØ½£10	Tr­êng kiÕm		9	1	1	23	0					
Cöu Ch©u-ThÇn DiÖm Thiªn §ao	0	3	8947	200	9000	0	300	0	252;505		1	100	193	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_25a1.spr	\image\item\weapon\wea_5v5liupai_25a0.spr	B¶o ®ao luyÖn tõ th¸nh háa Ba T­, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	Ã÷½Ìµ¶10	§¬n ®ao		9	1	1	25	0					
Cöu Ch©u-ThÇn Phong Ph¸n Bót	0	9	8948	130	9000	0	300	0	172;345		1	110	194	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_26a1.spr	\image\item\weapon\wea_5v5liupai_26a0.spr	ThÇn bót ®­îc luyÖn tõ th¸nh háa Ba T­, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Ã÷½Ì±Ê10	Bót		9	1	1	26	0					
Cöu Ch©u-ThÇn Linh Chó Tr¶o	0	11	8949	215	9000	0	300	2	187;374	224;448	1	105	195	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_27a1.spr	\image\item\weapon\wea_5v5liupai_27a0.spr	Linh tr¶o ®­îc luyÖn tõ th¸nh háa Ba T­, s¾c nhän thÊu cèt xuyªn t©m, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Ã÷½Ì×¦10	Tr¶o		9	1	1	27	0					
Cöu Ch©u-Linh Lung Chi	0	13	8950	140	9000	0	300	0	224;448	191;382	1	87	196	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_29a1.spr	\image\item\weapon\wea_5v5liupai_29a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	´äÑÌÉÈ10	Linh Chi		9	1	1	29	0					
Cöu Ch©u-Cöu Tiªu S¸o	0	12	8951	130	9000	0	300	0	173;345	88;175	1	87	197	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_30a1.spr	\image\item\weapon\wea_5v5liupai_30a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	´äÑÌµÑ10	Tiªu		9	1	1	30	0					
H¹o NguyÖt-§é N¹n T«n Gi¶ PhËt §ao	0	3	8972	200	18000	0	300	0	252;505		1	100	614	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_01a1.spr	\image\item\weapon\wea_lv11_liupai_01a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖµ¶11	§¬n ®ao		9	2	1	2	0					
H¹o NguyÖt-§é KiÕp T«n Gi¶ PhËt Thñ	0	0	8973	50	18000	0	300	0	261;522	224;448	1	90	615	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_03a1.spr	\image\item\weapon\wea_lv11_liupai_03a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ÕÊÖ	Hé thñ		9	2	1	4	0					
H¹o NguyÖt-§é ¸ch T«n Gi¶ PhËt Tr­îng	0	8	8974	100	18000	0	300	0	187;374	257;514	1	86	616	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_04a1.spr	\image\item\weapon\wea_lv11_liupai_04a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖìø11	Tİch tr­îng		9	2	1	3	0					
H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Tr©m	0	1	8975	50	18000	0	300	0	152;305		1	80	617	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_06a1.spr	\image\item\weapon\wea_lv11_liupai_06a0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	°µÆ÷	¸m khİ		9	2	1	6	0					
H¹o NguyÖt-PhËt V©n Th¸nh C« Liªn KiÕm	0	2	8976	90	18000	0	300	0	165;330	291;582	1	86	618	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_08a1.spr	\image\item\weapon\wea_lv11_liupai_08a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼½£11	Tr­êng kiÕm		9	2	1	8	0					
H¹o NguyÖt-PhËt TrÇn Th¸nh C« CÇm	0	10	8977	140	18000	0	300	1	191;382	222;445	1	90	619	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_09a1.spr	\image\item\weapon\wea_lv11_liupai_09a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼ÇÙ11	CÇm		9	2	1	9	0					
H¹o NguyÖt-Trôc Phông Thiªn C¸i Thñ	0	0	8978	50	18000	0	300	0	261;522	224;448	1	90	620	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_11a1.spr	\image\item\weapon\wea_lv11_liupai_11a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	¿ÕÊÖ	Hé thñ		9	2	1	11	0					
H¹o NguyÖt-Du Long §Şa KhÊt C«n	0	5	8979	200	18000	0	300	0	205;410		1	84	621	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_12a1.spr	\image\item\weapon\wea_lv11_liupai_12a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	Ø¤°ï¹÷11	C«n		9	2	1	12	0					
H¹o NguyÖt-V« Cùc Thiªn T«n Tóc KiÕm	0	2	8980	90	18000	0	300	0	165;330	291;582	1	86	622	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_14a1.spr	\image\item\weapon\wea_lv11_liupai_14a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±½£11	Tr­êng kiÕm		9	2	1	14	0					
H¹o NguyÖt-Bİch L¹c Thiªn T«n Bót	0	9	8981	130	18000	0	300	0	172;345		1	110	623	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_15a1.spr	\image\item\weapon\wea_lv11_liupai_15a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±±Ê11	Bót		9	2	1	15	0					
