Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
[Bİ chÕ] §Ò ThÇn T¸n	1	0	242	0	1	999	state_sleep_immune	100			state_sleep_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ h«n mª		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] Ng­ng Hån T¸n	1	0	243	0	1	999	state_confusion_immune	100			state_confusion_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ hçn lo¹n		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] ThÇn Phong T¸n	1	0	244	0	1	999	state_fetter_immune	100			state_fetter_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ ®Şnh th©n		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] V« óy T¸n	1	0	245	0	1	999	state_vertigo_immune	100			state_vertigo_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ cho¸ng		D­îc phÈm		5	2	1	3240	186
[Bİ chÕ] §Şnh T©m T¸n	1	0	246	0	1	999	state_delude_immune	100			state_delude_immune	100			10	1	-1	\image\item\usable\Í¨½îÉ¢a1.spr	\image\item\usable\Í¨½îÉ¢a0.spr	§¬n d­îc giang hå th­êng dïng, gióp b¶n th©n kh«ng bŞ mª hoÆc		D­îc phÈm		5	2	1	3240	186
Ngò ChuyÓn Kim Cang §¬n	1	0	276	0	1	999					state_sub1_rate_add	10			5	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	§¬n d­îc cña ThiÕu L©m, l­u th«ng ch©n khİ, khiÕn chiªu thøc vâ c«ng nhÑ nhµng nh­ m©y bay n­íc ch¶y, ®Ö tö Tôc Gia chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Ngò ChuyÓn La H¸n §¬n	1	0	277	0	1	999					state_magic_parmor_poi_add	100			5	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	§¬n d­îc cña ThiÕu L©m, l­u th«ng ch©n khİ hé thÓ, nhanh chãng t¨ng cao phßng thñ vâ c«ng, Vâ T¨ng chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Ngò ChuyÓn Linh B¶o ®¬n	1	0	278	0	1	999					state_sub1_rate_add	10			5	1	-1	\image\item\usable\Îå×ªÁé±¦µ¤a1.spr	\image\item\usable\Îå×ªÁé±¦µ¤a0.spr	§¬n d­îc cña ThiÕu L©m, l­u th«ng ch©n khİ, khiÕn chiªu thøc vâ c«ng nhÑ nhµng nh­ m©y bay n­íc ch¶y, ThiÒn T¨ng chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
HuyÒn C¬ ThÇn Gi¸p §¬n	1	0	250	0	1	999					state_physical_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	§¬n d­îc cña §­êng M«n, l­u th«ng ch©n khİ hé thÓ, nhanh chãng t¨ng cao phßng thñ ngo¹i c«ng, ®Ö tö §­êng M«n chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Chİnh Nguyªn Kim Quang §¬n	1	0	251	0	1	999					state_m_attack_percent_add	50			10	1	-1	\image\item\usable\ÕıÔª»ØĞÄµ¤a1.spr	\image\item\usable\ÕıÔª»ØĞÄµ¤a0.spr	§¬n d­îc cña Nga My, kh¾p n¬i ®Òu mäc lªn hoa sen, nhanh chãng t¨ng cao c«ng lùc, ®Ö tö PhËt Gia chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Chİnh Nguyªn Tö Anh §¬n	1	0	252	0	1	999					state_magic_parmor_poi_add	100			5	1	-1	\image\item\usable\ÕıÔª»ØĞÄµ¤a1.spr	\image\item\usable\ÕıÔª»ØĞÄµ¤a0.spr	§¬n d­îc cña Nga My, ng­ng thÇn tô khİ, t¨ng cao néi c«ng phßng thñ, ®Ö tö Tôc Gia chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Tiªu Dao Cµn Kh«n §¬n	1	0	253	0	1	999					state_skill_use_range_add	200			10	1	-1	\image\item\usable\heal_015a1.spr	\image\item\usable\heal_015a0.spr	§¬n d­îc cña C¸i Bang, t¹o ra lùc cµn kh«n, ng­ng tô bªn trong, më réng ph¹m vi sö dông vâ c«ng, ®Ö tö TÜnh Y chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Tiªu Dao ThÇn Du §¬n	1	0	254	0	1	999					state_interval_ignore	100			5	1	-1	\image\item\usable\heal_015a1.spr	\image\item\usable\heal_015a0.spr	§¬n d­îc cña C¸i Bang, vËn hµnh néi lùc, tô khİ, chiªu thøc ph¸t ra liªn tôc nh­ c­ìi m©y, ®Ö tö ¤ Y chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Lôc D­¬ng Chİnh Khİ ®¬n	1	0	255	0	1	999					state_cast_technique_rate	50			10	1	-1	\image\item\usable\ÁùÑôÕıÆøµ¤a1.spr	\image\item\usable\ÁùÑôÕıÆøµ¤a0.spr	§¬n d­îc cña Vâ §ang, t¹o ra ch©n khİ tiªn thiªn cña ®¹o gia, chiªu thøc kiÕm s¸ng nh­ ¸nh quang, ®Ö tö §¹o Gia chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Lôc D­¬ng Qu©n Tö §¬n	1	0	256	0	1	999					state_interval_ignore	100			5	1	-1	\image\item\usable\ÁùÑôÕıÆøµ¤a1.spr	\image\item\usable\ÁùÑôÕıÆøµ¤a0.spr	§¬n d­îc cña Vâ §ang, ng­ng tô ch©n khİ tiªn thiªn cña ®¹o gia, dïng ngò hµnh trËn ph¸p, chiªu thøc ph¸t ra liªn tôc, ®Ö tö Tôc Gia chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Thiªn V­¬ng B¸ Khİ §¬n	1	0	257	0	1	999					state_sub1_rate_add	10			5	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	§¬n d­îc cña D­¬ng M«n, khİ chÊt cuån cuén, uy lùc dòng m·nh, nhanh chãng t¨ng cao lùc tÊn c«ng cña chiªu thøc tÊn c«ng, Th­¬ng Kş chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Thiªn V­¬ng Håi T©m §¬n	1	0	258	0	1	999					imme_clear_skill_interval	7				1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	§¬n d­îc cña D­¬ng M«n, chuyÓn ®æi khİ cèt, khiÕn vâ c«ng nhanh chãng thi triÓn lÇn hai, Cung Kş chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Cöu U ThÇn Tr¸c §¬n	1	0	259	0	1	999					state_magic_parmor_poi_add	100			5	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	§¬n d­îc cña Ngò §éc, t¹o ra ch©n khİ hé thÓ bao béc cña thÇn linh, nhanh chãng t¨ng cao phßng thñ hç trî, Tµ HiÖp chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Cöu U Ngù Phong §¬n	1	0	260	0	1	999					state_cast_technique_rate	50			10	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	§¬n d­îc cña Ngò §éc, vËn ch©n khİ, ng­ng tô néi lùc, chiªu thøc vâ c«ng ph¸t ra µo ¹t nh­ giã, Cæ S­ chuyªn dïng.		Lo¹i PK	\script\item\faction_medicine.lua	5	0	0	3240	170
Ngò Hoa Tô Nguyªn T¸n (søc m¹nh)	1	0	261	0	1	999	state_add_strength	50			state_add_strength	50			600	1	-1	\image\item\usable\Ê¦ÃÅÃØÒ©£¨Á¦Á¿£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨Á¦Á¿£©a0.spr	D­îc phÈm mËt chÕ, cã c«ng hiÖu tô nguyªn, sö dông t¨ng søc m¹nh 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
Ngò Hoa Tô Nguyªn T¸n (néi c«ng)	1	0	262	0	1	999	state_add_energy	50			state_add_energy	50			600	1	-1	\image\item\usable\Ê¦ÃÅÃØÒ©£¨ÄÚ¹¦£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨ÄÚ¹¦£©a0.spr	D­îc phÈm mËt chÕ, cã c«ng hiÖu tô nguyªn, sö dông t¨ng néi c«ng 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
Ngò Hoa Tô Nguyªn T¸n (g©n cèt)	1	0	263	0	1	999	state_add_vitality	50			state_add_vitality	50			600	1	-1	\image\item\usable\Ê¦ÃÅÃØÒ©£¨¸ù¹Ç£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨¸ù¹Ç£©a0.spr	D­îc phÈm mËt chÕ, cã c«ng hiÖu tô nguyªn, sö dông t¨ng g©n cèt 50, ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
Ngò Hoa Tô Nguyªn T¸n (th©n ph¸p)	1	0	264	0	1	999	state_add_dexterity	50			state_add_dexterity	50			600	1	-1	\image\item\usable\Ê¦ÃÅÃØÒ©£¨Éí·¨£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨Éí·¨£©a0.spr	D­îc phÈm mËt chÕ, cã c«ng hiÖu tô nguyªn, sö dông t¨ng th©n ph¸p 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
Ngò Hoa Tô Nguyªn T¸n (nhanh nhÑn)	1	0	265	0	1	999	state_add_observe	50			state_add_observe	50			600	1	-1	\image\item\usable\Ê¦ÃÅÃØÒ©£¨¶´²ì£©a1.spr	\image\item\usable\Ê¦ÃÅÃØÒ©£¨¶´²ì£©a0.spr	D­îc phÈm mËt chÕ, cã c«ng hiÖu tô nguyªn, sö dông t¨ng linh ho¹t 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (lùc c¨n)	1	0	266	0	1	999	state_add_strength	50	state_add_vitality	50	state_add_strength	50	state_add_vitality	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿¸ù¹Ç£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿¸ù¹Ç£©a0.spr	D­îc phÈm mËt chÕ, sö dông søc m¹nh vµ g©n cèt t¨ng 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (lùc th©n)	1	0	267	0	1	999	state_add_strength	50	state_add_dexterity	50	state_add_strength	50	state_add_dexterity	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿Éí·¨£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿Éí·¨£©a0.spr	D­îc phÈm mËt chÕ, sö dông søc m¹nh vµ th©n ph¸p t¨ng 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (lùc ®æng)	1	0	268	0	1	999	state_add_strength	50	state_add_observe	50	state_add_strength	50	state_add_observe	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿¶´²ì£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿¶´²ì£©a0.spr	D­îc phÈm mËt chÕ, sö dông søc m¹nh vµ linh ho¹t t¨ng 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (lùc néi)	1	0	269	0	1	999	state_add_strength	50	state_add_energy	50	state_add_strength	50	state_add_energy	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿ÄÚ¹¦£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Á¦Á¿ÄÚ¹¦£©a0.spr	D­îc phÈm mËt chÕ, sö dông søc m¹nh vµ néi c«ng t¨ng 50 ®iÓm, kĞo dµi 10 phót.		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (néi c¨n)	1	0	270	0	1	999	state_add_energy	50	state_add_vitality	50	state_add_energy	50	state_add_vitality	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦¸ù¹Ç£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦¸ù¹Ç£©a0.spr	D­îc phÈm mËt chÕ, sö dông néi c«ng vµ g©n cèt t¨ng 50 ®iÓm		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (néi th©n)	1	0	271	0	1	999	state_add_energy	50	state_add_dexterity	50	state_add_energy	50	state_add_dexterity	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦Éí·¨£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦Éí·¨£©a0.spr	D­îc phÈm mËt chÕ, sö dông néi c«ng vµ th©n ph¸p t¨ng 50 ®iÓm, kĞo dµi 10 phót		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (néi ®æng)	1	0	272	0	1	999	state_add_energy	50	state_add_observe	50	state_add_energy	50	state_add_observe	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦¶´²ì£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨ÄÚ¹¦¶´²ì£©a0.spr	D­îc phÈm mËt chÕ, sö dông néi c«ng vµ linh ho¹t t¨ng 50 ®iÓm, kĞo dµi 10 phót		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (th©n c¨n)	1	0	273	0	1	999	state_add_dexterity	50	state_add_vitality	50	state_add_dexterity	50	state_add_vitality	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Éí·¨¸ù¹Ç£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Éí·¨¸ù¹Ç£©a0.spr	D­îc phÈm mËt chÕ, sö dông th©n ph¸p vµ g©n cèt t¨ng 50 ®iÓm, kĞo dµi 10 phót		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (th©n ®æng)	1	0	274	0	1	999	state_add_dexterity	50	state_add_observe	50	state_add_dexterity	50	state_add_observe	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Éí·¨¶´²ì£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨Éí·¨¶´²ì£©a0.spr	D­îc phÈm mËt chÕ, sö dông th©n ph¸p vµ linh ho¹t t¨ng 50 ®iÓm, kĞo dµi 10 phót		D­îc phÈm		5	0	0	36	196
ThÊt Hoa Tô Nguyªn T¸n (®æng c¨n)	1	0	275	0	1	999	state_add_observe	50	state_add_vitality	50	state_add_observe	50	state_add_vitality	50	600	1	-1	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨¶´²ì¸ù¹Ç£©a1.spr	\image\item\usable\Æß»ª¾ÛÔªÉ¢£¨¶´²ì¸ù¹Ç£©a0.spr	D­îc phÈm mËt chÕ, sö dông linh ho¹t vµ g©n cèt t¨ng 50 ®iÓm, kĞo dµi 10 phót		D­îc phÈm		5	0	0	36	196
Tiªu Dao B¹ch V©n T¸n	1	0	125	0	0	9999	state_life_restore_per8f	75			state_life_per_per8f	300			20	1	-1	\image\item\usable\heal_004a1.spr	\image\item\usable\heal_004a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, cã thÓ trŞ liÖu th­¬ng tİch. <enter><color=Gold>(sau khi sö dông khÊu trõ 25 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	3	1	1	3240	199
Tiªu Dao V©n CÈm Tôc	1	0	126	0	0	9999	state_life_restore_per8f	600			state_life_per_per8f	500			10	1	-1	\image\item\usable\heal_005a1.spr	\image\item\usable\heal_005a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, cã thÓ trŞ liÖu th­¬ng tİch. <enter><color=Gold>(sau khi sö dông khÊu trõ 50 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	4	1	1	3240	199
Tiªu Dao §o¹n Tôc Cao	1	0	127	0	0	9999	state_life_restore_per8f	1000			state_life_per_per8f	1000			5	1	-1	\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, cã thÓ trŞ liÖu th­¬ng tİch. <enter><color=Gold>(sau khi sö dông khÊu trõ 1 vµng)<color>		Lo¹i PK	\script\item\special_medic.lua	6	1	1	3240	199
Tiªu Dao §¹i Hoµn §¬n	1	0	128	0	0	9999	state_neili_restore_per8f	1			state_neili_per_per8f	300			30	1	-1	\image\item\usable\heal_009a1.spr	\image\item\usable\heal_009a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc hiÖu qu¶. <enter><color=Gold>(sau khi sö dông khÊu trõ 25 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	3	1	1	1080	198
Tiªu Dao Phôc Thñy §¬n	1	0	129	0	0	9999	state_neili_restore_per8f	4			state_neili_per_per8f	500			10	1	-1	\image\item\usable\heal_010a1.spr	\image\item\usable\heal_010a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc hiÖu qu¶. <enter><color=Gold>(sau khi sö dông khÊu trõ 50 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	4	1	1	1080	198
Tiªu Dao Quy Nguyªn §¬n	1	0	130	0	0	9999	state_neili_restore_per8f	10			state_neili_per_per8f	1000			5	1	-1	\image\item\usable\heal_011a1.spr	\image\item\usable\heal_011a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc hiÖu qu¶. <enter><color=Gold>(sau khi sö dông khÊu trõ 1 vµng)<color>		Lo¹i PK	\script\item\special_medic.lua	6	1	1	1080	198
Tiªu Dao Ngäc Linh T¸n	1	0	131	0	0	9999	state_life_restore_per8f	75	state_neili_restore_per8f	2	state_life_per_per8f	300	state_neili_per_per8f	300	20	1	-1	\image\item\usable\heal_014a1.spr	\image\item\usable\heal_014a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc, trŞ th­¬ng h÷u hiÖu. <enter><color=Gold>(sau khi sö dông khÊu trõ 25 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	4	1	1	3240	197
Tiªu Dao Ngäc Lé Hoµn	1	0	132	0	0	9999	state_life_restore_per8f	300	state_neili_restore_per8f	4	state_life_per_per8f	500	state_neili_per_per8f	500	10	1	-1	\image\item\usable\heal_015a1.spr	\image\item\usable\heal_015a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc, trŞ th­¬ng h÷u hiÖu. <enter><color=Gold>(sau khi sö dông khÊu trõ 50 b¹c)<color>		Lo¹i PK	\script\item\special_medic.lua	5	1	1	3240	197
Tiªu Dao T¹o Hãa T¸n	1	0	133	0	0	9999	state_life_restore_per8f	500	state_neili_restore_per8f	5	state_life_per_per8f	800	state_neili_per_per8f	800	10	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, håi phôc néi lùc, trŞ th­¬ng h÷u hiÖu. <enter><color=Gold>(sau khi sö dông khÊu trõ 1 vµng)<color>		Lo¹i PK	\script\item\special_medic.lua	7	1	1	3240	197
Tiªu Dao Cöu ChuyÓn §¬n	1	0	134	0	0	9999	imme_life_percent_add	100	imme_mana_percent_add	100	imme_life_percent_add	100	imme_mana_percent_add	100		1	-1	\image\item\usable\heal_032a1.spr	\image\item\usable\heal_032a0.spr	D­îc phÈm chuyªn dông chiÕn tr­êng liªn ®Êu, sö dông håi phôc toµn bé sinh lùc néi lùc. <enter><color=Gold>(sau khi sö dông khÊu trõ 10 vµng)<color>		Lo¹i PK	\script\item\special_medic.lua	10	1	1	5400	190
Tiªu Dao DËt Phong Cao	1	0	135	0	0	9999	state_life_per_per8f	1000			state_life_per_per8f	1000			5	1	-1	\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	Thuèc chuyªn dïng cho liªn server, cã thÓ trŞ th­¬ng.		Lo¹i PK	\script\item\special_medic.lua	6	1	1	3240	199
Tiªu Dao DËt Phong §¬n	1	0	136	0	0	9999	state_neili_per_per8f	300			state_neili_per_per8f	300			30	1	-1	\image\item\usable\heal_011a1.spr	\image\item\usable\heal_011a0.spr	Thuèc chuyªn dïng cho liªn server, håi phôc néi lùc tiªu hao.		Lo¹i PK	\script\item\special_medic.lua	6	1	1	1080	198
Tiªu Dao DËt Phong T¸n	1	0	137	0	0	9999	state_life_per_per8f	1000	state_neili_per_per8f	1000	state_life_per_per8f	1000	state_neili_per_per8f	1000	5	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	Thuèc chuyªn dïng cho liªn server, bæ sung néi lùc tiªu hao, trŞ th­¬ng.		Lo¹i PK	\script\item\special_medic.lua	7	1	1	3240	197
Tiªu Dao DËt Phong Hoµn	1	0	138	0	0	9999	imme_life_percent_add	100	imme_mana_percent_add	100	imme_life_percent_add	100	imme_mana_percent_add	100		1	-1	\image\item\usable\heal_032a1.spr	\image\item\usable\heal_032a0.spr	Thuèc chuyªn dïng cho liªn server, sau khi dïng håi phôc nhanh toµn bé sinh lùc vµ néi lùc.		Lo¹i PK	\script\item\special_medic.lua	10	1	1	5400	190
Tiªu Dao Phï (Háa Kú L©n)	1	7	46	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Ngò ®éc tµ chó, cã thÓ phong Ên thi thÓ (chuét tr¸i triÖu gäi, thi thÓ håi sinh kh«ng thÓ quay vÒ server cò)<enter><color=Gold>(sau khi sö dông khÊu trõ 5 vµng)<color>		Phï ChØ	\script\item\fengshifu.lua	1	1	1		
Tiªu Dao Phï (LiÖt Nham Li Long)	1	7	154	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Ngò ®éc tµ chó, cã thÓ phong Ên thi thÓ (chuét tr¸i triÖu gäi, thi thÓ håi sinh kh«ng thÓ quay vÒ server cò)<enter><color=Gold>(sau khi sö dông khÊu trõ 5 vµng)<color>		Phï ChØ	\script\item\fengshifu.lua	1	1	1		
Tiªu Dao Phï (Th­¬ng ThÇn Doanh Thiªn)	1	7	148	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Ngò ®éc tµ chó, cã thÓ phong Ên thi thÓ (chuét tr¸i triÖu gäi, thi thÓ håi sinh kh«ng thÓ quay vÒ server cò)<enter><color=Gold>(sau khi sö dông khÊu trõ 300 vµng)<color>		Phï ChØ	\script\item\fengshifu.lua	1	1	1		
Tiªu Dao Phï (B¾c Lôc L©m Minh Chñ)	1	7	147	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Ngò ®éc tµ chó, cã thÓ phong Ên thi thÓ (chuét tr¸i triÖu gäi, thi thÓ håi sinh kh«ng thÓ quay vÒ server cò)<enter><color=Gold>(sau khi sö dông khÊu trõ 250 vµng)<color>		Phï ChØ	\script\item\fengshifu.lua	1	1	1		
Tiªu Dao Phï (NgÉu nhiªn)	1	7	10000	0	0	999											-1	\image\item\other\secr_036a1.spr	\image\item\other\secr_036a0.spr	Ngò ®éc tµ chó, cã thÓ phong Ên thi thÓ (chuét tr¸i triÖu gäi, thi thÓ håi sinh kh«ng thÓ quay vÒ server cò)<enter><color=Gold>(sau khi sö dông khÊu trõ 10 b¹c)<color>		Phï ChØ	\script\item\fengshifu.lua	1	1	1		
Tiªu Dao V« Cùc §¬n	1	0	139	0	0	9999	state_dispear				state_dispear				9	1	-1	\image\item\usable\Éñ¼×µ¤a1.spr	\image\item\usable\Éñ¼×µ¤a0.spr	Th¸nh b¶o chuyªn dïng cho liªn server, t­¬ng truyÒn do HuyÒn Vò §¹i §Õ ThÇn Lùc hãa thµnh.<enter><color=Gold>(Sö dông cã thÓ v« ®Şch 9 gi©y, trõ 10 Tiªu Dao Ngäc)		Lo¹i PK	\script\item\special_medic.lua	9	1	1	5400	186
Cöu ChuyÓn Tiªu Dao §¬n (Lùc §éng)	1	0	279	0	0	999											-1	\image\item\usable\Á¦¶´ºÏ¼Áa1.spr	\image\item\usable\Á¦¶´ºÏ¼Áa0.spr	Thuèc mËt chÕ, chØ ®Şnh dïng trong Vâ L©m §¹i Héi<enter><enter><color=gold>Thêi gian hiÖu qu¶: 30 phót <enter>Sau khi träng th­¬ng hiÖu qu¶ kh«ng mÊt ®i<enter><enter>Søc m¹nh t¨ng 50 ®iÓm<enter>Linh ho¹t t¨ng 50 ®iÓm<enter><enter><color=red>Trong cïng mét thêi gian chØ cã thÓ tån t¹i hiÖu qu¶ 1 lo¹i thuèc, khi dïng sÏ thay thÕ hiÖu qu¶ thuèc th­êng.		Bİ D­îc-Cao	\script\item\feast.lua	5	0	1	5400	256
