Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hép quµ noel	2	1	30349	0	0	999												\image\item\other\Ê¥µ®ÀñÎï_36.spr	\image\item\other\Ê¥µ®ÀñÎï_80.spr	Hép quµ tÆng cho ng­êi th©n yªu <enter><color=Gold> (sau 24:00 ngµy 8 th¸ng 1 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\2011_11\activity_02\christmas_gift.lua	1	0	1							
C©y th«ng gi¸o héi	2	1	30350	0	0	1												\image\item\other\Ê¥µ®Ê÷_36.spr	\image\item\other\Ê¥µ®Ê÷_80.spr	“C©y th«ng kh«ng thÓ thiÕu cho mïa gi¸ng sinh”		ThÇn bİ	\script\online_activites\2011_11\activity_04\npc_christmas_tree.lua	1	0	1							
Båi Nguyªn §¬n	2	1	30351	0	10000	1												\image\item\usable\ÁùÑôÕıÆøµ¤a1.spr	\image\item\usable\ÁùÑôÕıÆøµ¤a0.spr	Bİ d­îc dïng ®Ó tu luyÖn, trong chøa İt thiªn ®Şa linh khİ		ThÇn bİ	\script\meridian\meridian_item_peiyuandan.lua	1	0	1							
Tø Linh Quy Nguyªn §¬n	2	1	30352	0	50000	1												\image\item\usable\ÓñºâĞĞÔÆµ¤a1.spr	\image\item\usable\ÓñºâĞĞÔÆµ¤a0.spr	Bİ d­îc dïng ®Ó tu luyÖn, trong chøa thiªn ®Şa linh khİ		ThÇn bİ	\script\meridian\meridian_item_silingguiyuandan.lua	1	0	1							
§ång tiÒn may m¾n	2	1	30353	0	0	999												\image\item\other\ĞÒÔËÍ­±Ò_36.spr	\image\item\other\ĞÒÔËÍ­±Ò_80.spr	§ång tiÒn mang l¹i mét n¨m míi may m¾n		ThÇn bİ		1	0	0							
Hång bao	2	1	30354	0	0	1												\image\item\other\ºì°ü_36.spr	\image\item\other\ºì°ü_80.spr	Hång bao dïng ®Ó chøa ®ång tiÒn mang l¹i may m¾n		ThÇn bİ		1	0	1							
L× X×	2	1	30355	0	0	999												\image\item\other\ÀûÊÇ-Ñ¹ËêÇ®_36.spr	\image\item\other\ÀûÊÇ-Ñ¹ËêÇ®_80.spr	N¨m míi l× x× ®¹i hång bao <enter><color=Gold> (sau 24:00 ngµy 19 th¸ng 2 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Socola 2012	2	1	30356	0	0	1												\image\item\other\holi_017a1.spr	\image\item\other\holi_017a0.spr	Socola t×nh nh©n <enter><color=Gold> (H¹n sö dông 24 giê sau khi mua)		ThÇn bİ	\script\online_activites\2011_12\qingrenjie\item_chocolate.lua	1	0	1							
#Qu¶ Ca Cao	2	1	30357	0	0	1000												\image\item\other\¿É¿É¹û36.spr	\image\item\other\¿É¿É¹û80.spr	Nguyªn liÖu dïng lµm Socola		ThÇn bİ		1	0	1							
S÷a tinh chÊt	2	1	30358	0	0	1												\image\item\other\tianniunai36.spr	\image\item\other\tianniunai80.spr	Nguyªn liÖu chİnh ®Ó lµm Socola ngät ngµo		ThÇn bİ		1	0	1							
Socola t×nh nh©n	2	1	30359	0	0	999												\image\item\other\qiaokeli36.spr	\image\item\other\qiaokeli80.spr	Nh÷ng thanh Socola ngät nµo dïng ®Ó tÆng cho ng­êi yªu th­¬ng<enter><color=Gold> (sau 24:00 ngµy 4 th¸ng 3 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
V¶i lôa cao cÊp	2	1	30360	0	0	999												\image\item\other\ÉÏµÈË¿³ñ_36.spr	\image\item\other\ÉÏµÈË¿³ñ_80.spr	Nguyªn liÖu chİnh ®Ó lµm Hoµn Kim Phi Phong		ThÇn bİ		1	0	0							
ChØ vµng	2	1	30361	0	0	1												\image\item\other\½ğÏß_36.spr	\image\item\other\½ğÏß_80.spr	Nguyªn liÖu chİnh ®Ó lµm Hoµn Kim Phi Phong		ThÇn bİ		1	0	1							
Hoµng Kim Phi Phong	2	1	30362	0	0	999												\image\item\other\Åû·ç_36.spr	\image\item\other\Åû·ç_80.spr	Phi Phong Hoµng Kim lµm t«n thªm vÎ ®Ñp ng­êi phô n÷ trong ho¹t ®éng lÔ tÕt. <enter><color=Gold> (Sau 00:00 giê ngµy 8 th¸ng 4 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
ChiÕn Tİch	2	1	30363	0	0	999												\image\item\other\Õ½¼¨36.spr	\image\item\other\Õ½¼¨80.spr	Nguyªn liÖu dïng chÕ t¹o Hu©n Ch­¬ng vµ B»ng Khen		ThÇn bİ		1	0	0							
Huy HiÖu	2	1	30364	0	0	1												\image\item\other\»ÕÕÂ36.spr	\image\item\other\»ÕÕÂ80.spr	Nguyªn liÖu quı dïng chÕ t¹o Hu©n Ch­¬ng vµ B»ng Khen		ThÇn bİ		1	0	1							
B»ng Khen	2	1	30365	0	0	999												\image\item\other\½±×´36.spr	\image\item\other\½±×´80.spr	B»ng khen rùc rì t­ëng tr­ng cho vÎ ®Ñp thÇn bİ<enter><color=Gold> (sau 24h ngµy 6 th¸ng 5 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Hu©n Ch­¬ng	2	1	30366	0	0	999												\image\item\other\Ñ«ÕÂ36.spr	\image\item\other\Ñ«ÕÂ80.spr	Huy tr­¬ng rùc rì t­ëng tr­ng cho vÎ ®Ñp thÇn bİ<enter><color=Gold> (sau 24h ngµy 6 th¸ng 5 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Tói tiÒn	2	1	30367	0	90000	999												\image\item\other\ÁúÍ·´üa1.spr	\image\item\other\ÁúÍ·´üa0_80.spr	Tói ®ùng tiÒn nhÊn chuét ph¶i sö dông		ThÇn bİ	\script\item\jinqiandai.lua	1	2	1							
Cæ Linh Th¹ch	2	1	30368	0	0	999												\image\item\other\¹ÅÁéÊ¯a1.spr	\image\item\other\¹ÅÁéÊ¯a0.spr	Cã thÓ ®æi nhiÒu lo¹i ®¹o cô, nhÊn chuét ph¶i sö dông		ThÇn bİ	\script\item\gulinshi.lua	1	2	1							
Cæ Linh Ngäc	2	1	30369	0	0	999												\image\item\other\¹ÅÁéÓña1.spr	\image\item\other\¹ÅÁéÓña0.spr	Cã thÓ ®æi nhiÒu lo¹i ®¹o cô hiÕm, nhÊn chuét ph¶i sö dông		ThÇn bİ	\script\item\gulinyu.lua	1	2	1							
Thiªn M«n Kim LÖnh	2	1	30370	0	0	10												\image\item\other\µØĞş½ğÁîa1.spr	\image\item\other\µØĞş½ğÁîa0.spr	Cã thÓ ®æi trang bŞ ®¹o cô quı hiÕm trªn giang hå, nhÊn chuét ph¶i sö dông		ThÇn bİ	\script\item\tianmenjinling.lua	1	3	1							
Phï më khãa	2	1	30371	0	0	1												\image\item\usable\rich_008a1.spr	\image\item\usable\rich_008a0.spr	Cã thÓ chuyÓn thuéc tİnh giao dŞch thµnh thuéc tİnh khãa l¹i trang bŞ Cöu Ch©u  		ThÇn bİ	\script\item\jiebangfu.lua	1	0	1							
TiÓu phï më khãa	2	1	30372	0	0	1												\image\item\other\Ç§Àï´«Òô·ûÖ½ 36.spr	\image\item\other\Ç§Àï´«Òô·ûÖ½.spr	Cã thÓ chuyÓn thuéc tİnh giao dŞch thµnh thuéc tİnh khãa l¹i trang bŞ H¶o NguyÖt  		ThÇn bİ	\script\item\xiaojiebangfu.lua	1	0	1							
Kh¾c b¶n	2	1	30373	0	0	100												\image\item\wenshi\»Ã±ä¿Ì°åa1.spr	\image\item\wenshi\»Ã±ä¿Ì°åa0.spr	Nguyªn liÖu chÕ t¹o ®¹o cô UÈn Linh cao cÊp		ThÇn bİ		1	0	1							
Cæ Thiªn M«n B¶o R­¬ng	2	1	30374	0	0	100												\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa1.spr	\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa0.spr	Dïng Cæ Linh Ngäc më, më cµng nhiÒu cµng cã c¬ héi nhËn Thiªn M«n Kim LÖnh		ThÇn bİ	\script\item\gutianmenbaoxiang.lua	1	0	1							
Nguyªn liÖu Mïa HÌ	2	1	30375	0	0	999												\image\item\other\ÏÄ¼¾Ô­ÁÏ36.spr	\image\item\other\ÏÄ¼¾Ô­ÁÏ80.spr	Nguyªn liÖu pha chÕ Cocktail 7 mµu vµ Tr¸i C©y ­íp l¹nh		ThÇn bİ		1	0	0							
Thùc ®¬n Hoµn H¶o	2	1	30376	0	0	1												\image\item\other\²Ëµ¥36.spr	\image\item\other\²Ëµ¥80.spr	Nguyªn liÖu quı pha chÕ Cocktail 7 mµu vµ Tr¸i C©y ­íp l¹nh		ThÇn bİ		1	0	1							
Cocktail 7 mµu 	2	1	30377	0	0	999												\image\item\other\Æß²Ê¼¦Î²¾Æ36.spr	\image\item\other\Æß²Ê¼¦Î²¾Æ80.spr	Cocktail 7 mµu th¬m ngon m¸t l¹nh<enter><color=Gold>Sau 24:00 ngµy 10 th¸ng 6 n¨m 2012 kh«ng sö dông ®­îc)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Tr¸i C©y ­íp l¹nh	2	1	30378	0	0	999												\image\item\other\±ù¶³Ë®¹û36.spr	\image\item\other\±ù¶³Ë®¹û80.spr	Tr¸i C©y ­íp l¹nh th¬m ngon m¸t l¹nh<enter><color=Gold>Sau 24:00 ngµy 10 th¸ng 6 n¨m 2012 kh«ng sö dông ®­îc)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
§æi b»ng c¸ch	2	1	30379	0	0	9999												\image\item\other\Ñ­»·È¦a1.spr	\image\item\other\Ñ­»·È¦a0.spr	H·y nhÊp vµo giao diÖn vËt phÈm, chän c¸ch thøc ®æi				1	1	1							
Nguyªn liÖu B¸nh ó Tro	2	1	30380	0	0	999												\image\item\other\Ô­ÁÏ36.spr	\image\item\other\Ô­ÁÏ80.spr	Nguyªn liÖu dïng ®Ó chÕ t¹o B¸nh ó Tro vµ B¸nh ó Tro §Ëu §á		ThÇn bİ		1	0	0							
L¸ Chuèi	2	1	30381	0	0	1												\image\item\other\Ïã½¶Ò¶36.spr	\image\item\other\Ïã½¶Ò¶80.spr	Nguyªn liÖu dïng ®Ó chÕ t¹o B¸nh ó Tro vµ B¸nh ó Tro §Ëu §á		ThÇn bİ		1	0	1							
B¸nh ó Tro	2	1	30382	0	0	999												\image\item\other\»ÒôÕ×Ó36.spr	\image\item\other\»ÒôÕ×Ó80.spr	B¸nh ó Tro th¬m ngon<enter><color=Gold>(kh«ng thÓ sö dông sau 24:00  15/07/2012)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
B¸nh ó Tro §Ëu §á	2	1	30383	0	0	999												\image\item\other\ºì¶¹ôÕ×Ó36.spr	\image\item\other\ºì¶¹ôÕ×Ó80.spr	B¸nh ó Tro §Ëu §á th¬m ngon<enter><color=Gold>(kh«ng thÓ sö dông sau 24:00  15/07/2012#		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
L­¬ng S¬n MËt B¶o R­¬ng	2	1	30384	0	0	999												\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa1.spr	\image\item\other\ÈÙÒ«Ö®ÒøÅÆºĞa0.spr	R­¬ng chøa B¶o Tµng ph¶i më b»ng ch×a khãa vµng L­¬ng S¬n (b¸n ë Ngù C¸c)		ThÇn bİ	\script\online\liangshanboss\item\lsmibox.lua	1	0	1							
Ch×a khãa vµng L­¬ng S¬n	2	1	30385	0	0	999												\image\item\other\½­É½½ğÔ¿³×a1.spr	\image\item\other\½­É½½ğÔ¿³×a0.spr	Më L­¬ng S¬n MËt B¶o R­¬ng ®Ó nhËn b¸u vËt		ThÇn bİ		1	0	1							
Ch×a khãa vµng L­¬ng S¬n §¹i Bao	2	1	30386	0	0	1												\image\item\other\Ç§ÄêÑ©¾«°üa1.spr	\image\item\other\Ç§ÄêÑ©¾«°üa0.spr	Chøa ®ùng 10 c¸i ch×a khãa vµng L­¬ng S¬n		ThÇn bİ	\script\online\liangshanboss\item\xiaobaolsjys.lua	1	0	1							
Ch×a khãa vµng L­¬ng S¬n TiÓu Bao	2	1	30387	0	0	1												\image\item\other\À¶É«¸ß¼¶°ü¹üa1.spr	\image\item\other\À¶É«¸ß¼¶°ü¹üa0.spr	Chøa ®ùng 50 c¸i ch×a khãa vµng L­¬ng S¬n		ThÇn bİ	\script\online\liangshanboss\item\dabaolsjys.lua	1	0	1							
Xuyªn V©n TiÔn Nhá 	2	1	30388	0	0	1												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	Chøa ®ùng 1 Xuyªn V©n TiÔn		ThÇn bİ	\script\online\liangshanboss\item\xiaohechuanyunjian.lua	1	0	1							
Xuyªn V©n TiÔn Lín	2	1	30389	0	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	Chøa ®ùng 10 Xuyªn V©n TiÔn		ThÇn bİ	\script\online\liangshanboss\item\xiaobaochuanyunjian.lua	1	0	1							
M¶nh Thiªn Cang	2	1	30390	0	0	999												\image\item\other\Ò»ÉÁÑı»Ía1.spr	\image\item\other\Ò»ÉÁÑı»Ía0.spr	Cã thÓ ghĞp thµnh Thiªn Cang LÖnh, ®æi c¸c lo¹i kú binh diÖu khİ		ThÇn bİ	\script\online\liangshanboss\item\tiangangsuipian.lua	1	0	1							
Xuyªn V©n TiÔn	2	1	30391	0	250000	10												\image\item\other\holi_012a1.spr	\image\item\other\holi_012a0.spr	Cã thÓ triÖu gäi L­¬ng S¬n h¶o h¸n ë b¶n ®å xung quanh Ph­îng T­êng		ThÇn bİ	\script\online\liangshanboss\item\chuanyunjian.lua	1	0	1							
L­¬ng S¬n tİn vËt	2	1	30392	0	0	9												\image\item\other\À¶ÌïÓña1.spr	\image\item\other\À¶ÌïÓña0.spr	Dïng 9 L­¬ng S¬n tİn vËt triÖu gäi L­¬ng S¬n h¶o h¸n ë b¶n ®å xung quanh Ph­îng T­êng, mçi ngµy 5 lÇn		ThÇn bİ	\script\online\liangshanboss\item\lsxinwu.lua	1	2	1							
H¶i S¶n T­¬i Sèng	2	1	30393	0	0	999												\image\item\other\º£ÏÊ36.spr	\image\item\other\º£ÏÊ80.spr	Nguyªn liÖu chÕ t¹o Cua Rang Muèi vµ Cµng GhÑ N­íng Muèi ít 		ThÇn bİ		1	0	0							
Muèi ít Xanh	2	1	30394	0	0	1												\image\item\other\À±½·ÑÎ36.spr	\image\item\other\À±½·ÑÎ80.spr	Nguyªn liÖu chÕ t¹o Cua Rang Muèi vµ Cµng GhÑ N­íng Muèi ít 		ThÇn bİ		1	0	1							
Cua Rang Muèi	2	1	30395	0	0	999												\image\item\other\ó¦Ğ·36.spr	\image\item\other\ó¦Ğ·80.spr	Cua Rang Muèi th¬m ngon<enter><color=Gold> (kh«ng thÓ sö dông sau 24: 00 ngµy 12/08/2012)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Cµng GhÑ N­íng Muèi ít	2	1	30396	0	0	999												\image\item\other\Ğ·Ç¯36.spr	\image\item\other\Ğ·Ç¯80.spr	Cµng GhÑ N­íng Muèi ít th¬m ngon ®Æc biÖt <enter><color=Gold> (kh«ng thÓ sö dông sau 24:00 ngµy 12/08/2012)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
Hång S¾c Th¸nh Háa	2	1	30397	0	0	1000												\image\item\other\ºìÉ«Ê¥»ğa1.spr	\image\item\other\ºìÉ«Ê¥»ğa0.spr	Hång S¾c Th¸nh Háa t­îng tr­ng cho vinh quang		ThÇn bİ		1	0	1							
Lôc S¾c Th¸nh Háa	2	1	30398	0	0	1000												\image\item\other\ÂÌÉ«Ê¥»ğa1.spr	\image\item\other\ÂÌÉ«Ê¥»ğa0.spr	Lôc S¾c Th¸nh Háa t­îng tr­ng cho søc sèng  		ThÇn bİ		1	0	1							
Hoµng S¾c Th¸nh Háa	2	1	30399	0	0	1000												\image\item\other\»ÆÉ«Ê¥»ğa1.spr	\image\item\other\»ÆÉ«Ê¥»ğa0.spr	Háa S¾c Th¸nh Háa t­îng tr­ng cho thµnh c«ng 		ThÇn bİ		1	0	1							
Lam S¾c Th¸nh Háa	2	1	30400	0	0	1000												\image\item\other\À¶É«Ê¥»ğa1.spr	\image\item\other\À¶É«Ê¥»ğa0.spr	Lam s¾c Th¸nh Háa t­îng tr­ng cho trİ tuÖ		ThÇn bİ		1	0	1							
H¾c S¾c Th¸nh Háa	2	1	30401	0	0	1000												\image\item\other\ºÚÉ«Ê¥»ğa1.spr	\image\item\other\ºÚÉ«Ê¥»ğa0.spr	H¾c S¾c Th¸nh Háa t­îng tr­ng cho chİnh nghÜa 		ThÇn bİ		1	0	1							
Ngò Th¸i Th¸nh Háa	2	1	30402	0	0	1000												\image\item\other\Îå²ÊÁğÁ§Ê¥»ğa1.spr	\image\item\other\Îå²ÊÁğÁ§Ê¥»ğa0.spr	Ngò Th¸i Th¸nh Háa t­îng tr­ng cho hßa b×nh		ThÇn bİ		1	0	1							
Ngò Th¸i ThÇn Th¹ch	2	1	30403	0	0	1000												\image\item\wenshi\ÎåÉ«²ÊÈ¾a1.spr	\image\item\wenshi\ÎåÉ«²ÊÈ¾a0.spr	Ngò Th¸i ThÇn Th¹ch cã thÓ luyÖn thµnh Ngò Th¸i Th¸nh Háa, cã b¸n ë Ngù C¸c		ThÇn bİ		1	0	1							
Bao §¸ Ngò S¾c nhá	2	1	30404	0	0	1												\image\item\other\Ç§ÄêÑ©¾«°üa1.spr	\image\item\other\Ç§ÄêÑ©¾«°üa0.spr	Më ra nhËn ®­îc 10 Ngò Th¸i ThÇn Th¹ch		ThÇn bİ	\script\online\olympic\item\xiaobaowucaishenshi.lua	1	0	1							
Bao §¸ Ngò S¾c lín	2	1	30405	0	0	1												\image\item\other\À¶É«¸ß¼¶°ü¹üa1.spr	\image\item\other\À¶É«¸ß¼¶°ü¹üa0.spr	Më ra nhËn ®­îc 50 Ngò Th¸i ThÇn Th¹ch		ThÇn bİ	\script\online\olympic\item\dabaowucaishenshi.lua	1	0	1							
Thiªn HuyÔn Kh¾c B¶n cÊp 1 	2	1	30406	0	0	99												\image\item\wenshi\1¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\1¼¶»¨ÎÆ¿Ì°æa0.spr	§æi bé vŞ thuéc tİnh UÈn Linh cÊp 1, nhÊp chuét ph¶i sö dông 		ThÇn bİ	\script\online\olympic\item\yijiqianhuankeban.lua	1	0	1							
Thiªn HuyÔn Kh¾c B¶n cÊp 2	2	1	30407	0	0	99												\image\item\wenshi\2¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\2¼¶»¨ÎÆ¿Ì°æa0.spr	§æi bé vŞ thuéc tİnh UÈn Linh cÊp 2, nhÊp chuét ph¶i sö dông 		ThÇn bİ	\script\online\olympic\item\erjiqianhuankeban.lua	1	0	1							
Thiªn HuyÔn Kh¾c B¶n cÊp 3	2	1	30408	0	0	99												\image\item\wenshi\3¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\3¼¶»¨ÎÆ¿Ì°æa0.spr	§æi bé vŞ thuéc tİnh UÈn Linh cÊp 3, nhÊp chuét ph¶i sö dông 		ThÇn bİ	\script\online\olympic\item\sanjiqianhuankeban.lua	1	0	1							
Th«ng Thiªn LÖnh	2	1	30409	0	0	1000												\image\item\other\½ğÁîÇ©a1.spr	\image\item\other\½ğÁîÇ©a0_80.spr	Më phÇn th­ëng lËt bµi trong Th«ng Thiªn HuyÔn C¶nh		ThÇn bİ	\script\item\item_billing\item_juyi_tongtian_ling.lua	1	3	1							
M¶nh Thiªn M«n	2	1	30410	0	0	200												\image\item\other\ºé»ÄËéÆ¬a0.spr	\image\item\other\ºé»ÄËéÆ¬a1.spr	Cã thÓ ghĞp thµnh Thiªn M«n Kim LÖnh		ThÇn bİ	\script\item\item_ttd\tianmensuipian.lua	1	0	1							
Bao Th«ng Thiªn LÖnh nhá	2	1	30411	0	0	1												\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\ÂÌÉ«¸ß¼¶°ü¹üa0.spr	Më ra nhËn ®­îc 10 Th«ng Thiªn LÖnh		ThÇn bİ	\script\item\item_ttd\smatianmensuipian.lua	1	0	1							
Bao Th«ng Thiªn LÖnh lín	2	1	30412	0	0	1												\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa1.spr	\image\item\other\×ÏºìÉ«¸ß¼¶°ü¹üa0.spr	Më ra nhËn ®­îc 50 Th«ng Thiªn LÖnh		ThÇn bİ	\script\item\item_ttd\bigtianmensuipian.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 1	2	1	30413	0	0	999												\image\item\other\µÍ¼¶Ô­Ê¯a1.spr	\image\item\other\µÍ¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 1, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 2	2	1	30414	0	0	999												\image\item\other\µÍ¼¶Ô­Ê¯a1.spr	\image\item\other\µÍ¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 2, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 3	2	1	30415	0	0	999												\image\item\other\µÍ¼¶Ô­Ê¯a1.spr	\image\item\other\µÍ¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 3, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 4	2	1	30416	0	0	999												\image\item\other\ÖĞ¼¶Ô­Ê¯a1.spr	\image\item\other\ÖĞ¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 4, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 5	2	1	30417	0	0	999												\image\item\other\ÖĞ¼¶Ô­Ê¯a1.spr	\image\item\other\ÖĞ¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 5, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 6	2	1	30418	0	0	999												\image\item\other\¸ß¼¶Ô­Ê¯a1.spr	\image\item\other\¸ß¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 6, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Linh Th¹ch Nguyªn Th¹ch cÊp 7	2	1	30419	0	0	999												\image\item\other\¸ß¼¶Ô­Ê¯a1.spr	\image\item\other\¸ß¼¶Ô­Ê¯a0.spr	§­îc sö dông 1 lÇn Linh Th¹ch cÊp 7, nhÊp chuét ph¶i sö dông.		ThÇn bİ	\script\task\bagua\source_store.lua	1	0	1							
Hoa sen	2	1	30420	0	0	999												\image\item\other\Á«»¨36.spr	\image\item\other\Á«»¨80.spr	Nguyªn liÖu chÕ t¹o §ãa Hoa tÆng MÑ vµ §ãa Hoa Vu Lan		ThÇn bİ		1	0	1							
GiÊy gãi Hoa	2	1	30421	0	0	1												\image\item\other\ÏÊ»¨°ü×°Ö½36.spr	\image\item\other\ÏÊ»¨°ü×°Ö½80.spr	Nguyªn liÖu chÕ t¹o §ãa Hoa tÆng MÑ vµ §ãa Hoa Vu Lan		ThÇn bİ		1	0	1							
§ãa Hoa tÆng MÑ	2	1	30422	0	0	999												\image\item\other\ËÍÄ¸ÏÊ»¨36.spr	\image\item\other\ËÍÄ¸ÏÊ»¨80.spr	§ãa Hoa tÆng MÑ th¬m ng¸t<enter><color=Gold>( sau 24:00 ngµy 9 th¸ng 9 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
§ãa Hoa Vu Lan	2	1	30423	0	0	999												\image\item\other\ÓÛÀ¼»¨36.spr	\image\item\other\ÓÛÀ¼»¨80.spr	§ãa Hoa Vu Lan th¬m ng¸t ®Æc biÖt<enter><color=Gold>(sau 24:00 ngµy 9 th¸ng 9 n¨m 2012 kh«ng thÓ sö dông)		ThÇn bİ	\script\online_activites\head\vn_activity_item.lua	1	0	1							
C­êng hãa quyÓn 12	2	1	30424	0	0	100												\image\item\other\±£»¤·û1_A1.spr	\image\item\other\±£»¤·û1_A0.spr	Khi c­êng hãa ®Õn +12 thÊt b¹i, ®é c­êng hãa trang bŞ sÏ kh«ng thay ®æi 		ThÇn bİ	\script\item\item_safe_enhance.lua	1	0	1							
C­êng hãa quyÓn 13	2	1	30425	0	0	100												\image\item\other\±£»¤·û2_A1.spr	\image\item\other\±£»¤·û2_A0.spr	Khi c­êng hãa ®Õn +13 thÊt b¹i, ®é c­êng hãa trang bŞ sÏ kh«ng thay ®æi 		ThÇn bİ	\script\item\item_safe_enhance.lua	1	0	1							
C­êng hãa quyÓn 14	2	1	30426	0	0	100												\image\item\other\±£»¤·û3_A1.spr	\image\item\other\±£»¤·û3_A0.spr	Khi c­êng hãa ®Õn +14 thÊt b¹i, ®é c­êng hãa trang bŞ sÏ kh«ng thay ®æi 		ThÇn bİ	\script\item\item_safe_enhance.lua	1	0	1							
C­êng hãa quyÓn 15	2	1	30427	0	0	100												\image\item\other\±£»¤·û4_A1.spr	\image\item\other\±£»¤·û4_A0.spr	Khi c­êng hãa ®Õn +15 thÊt b¹i, ®é c­êng hãa trang bŞ sÏ kh«ng thay ®æi 		ThÇn bİ	\script\item\item_safe_enhance.lua	1	0	1							
