T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0	100	3115	30	40000	0	250	35;23					409	88	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a1.spr	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®»ªÀöÒÂ	§· khãa		9	2	1	25	0					
H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0	100	3116	30	40000	0	250	30;30					410	88	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-±ê×¼ÄĞa1.spr	\image\item\cloth\½ğ¼××°-±ê×¼ÄĞa0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	±ê×¼ÄĞ»ªÀöÒÂ	§· khãa		9	2	1	26	0					
H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0	100	3117	30	40000	0	250	30;30					411	88	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-±ëº·ÄĞa1.spr	\image\item\cloth\½ğ¼××°-±ëº·ÄĞa0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	¿ıÎàÄĞ»ªÀöÒÂ	§· khãa		9	2	1	26	0					
H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0	100	3118	30	40000	0	250	30;30					412	88	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a1.spr	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	ĞÔ¸ĞÅ®»ªÀöÒÂ	§· khãa		9	2	1	26	0					
H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0	100	3119	30	40000	0	250	30;30					413	88	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a1.spr	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®»ªÀöÒÂ	§· khãa		9	2	1	26	0					
H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0	100	3120	30	40000	0	250	30;30					414	88	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-±ê×¼ÄĞa1.spr	\image\item\cloth\½ğ¼××°-±ê×¼ÄĞa0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	±ê×¼ÄĞ»ªÀöÒÂ	§· khãa		9	2	1	27	0					
H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0	100	3121	30	40000	0	250	30;30					415	88	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-±ëº·ÄĞa1.spr	\image\item\cloth\½ğ¼××°-±ëº·ÄĞa0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	¿ıÎàÄĞ»ªÀöÒÂ	§· khãa		9	2	1	27	0					
H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0	100	3122	30	40000	0	250	30;30					416	88	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a1.spr	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	ĞÔ¸ĞÅ®»ªÀöÒÂ	§· khãa		9	2	1	27	0					
H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0	100	3123	30	40000	0	250	30;30					417	88	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a1.spr	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®»ªÀöÒÂ	§· khãa		9	2	1	27	0					
H¹o NguyÖt-Tª V©n Tiªn Tö Y	0	100	3124	30	40000	0	250	30;30					418	88	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a1.spr	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	ĞÔ¸ĞÅ®»ªÀöÒÂ	§· khãa		9	2	1	29	0					
H¹o NguyÖt-Tª V©n Tiªn Tö Y	0	100	3125	30	40000	0	250	30;30					419	88	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a1.spr	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	½¿Ğ¡Å®»ªÀöÒÂ	§· khãa		9	2	1	29	0					
H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0	100	3126	30	40000	0	250	30;30					420	88	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a1.spr	\image\item\cloth\½ğ¼××°-ĞÔ¸ĞÅ®a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	ĞÔ¸ĞÅ®»ªÀöÒÂ	§· khãa		9	2	1	30	0					
H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0	100	3127	30	40000	0	250	30;30					421	88	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a1.spr	\image\item\cloth\½ğ¼××°-½¿Ğ¡Å®a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	½¿Ğ¡Å®»ªÀöÒÂ	§· khãa		9	2	1	30	0					
DiÖu D­¬ng-§é N¹n T«n Gi¶ Bµo	0	100	3128	30	40000	0	250	35;23					422	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	2	0					
DiÖu D­¬ng-§é N¹n T«n Gi¶ Bµo	0	100	3129	30	40000	0	250	35;23					423	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	2	0					
DiÖu D­¬ng-§é KiÕp T«n Gi¶ Bµo	0	100	3130	30	40000	0	250	23;35					424	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	4	0					
DiÖu D­¬ng-§é KiÕp T«n Gi¶ Bµo	0	100	3131	30	40000	0	250	23;35					425	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	4	0					
DiÖu D­¬ng-§é ¸ch T«n Gi¶ Bµo	0	100	3132	30	40000	0	250	35;23					426	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	3	0					
DiÖu D­¬ng-§é ¸ch T«n Gi¶ Bµo	0	100	3133	30	40000	0	250	35;23					427	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	3	0					
DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Y	0	100	3134	30	40000	0	250	30;30					428	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	6	0					
DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Y	0	100	3135	30	40000	0	250	30;30					429	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	6	0					
DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Y	0	100	3136	30	40000	0	250	30;30					430	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	6	0					
DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Y	0	100	3137	30	40000	0	250	30;30					431	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	6	0					
DiÖu D­¬ng-PhËt V©n Th¸nh C« Y	0	100	3138	30	40000	0	250	23;35					432	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	8	0					
DiÖu D­¬ng-PhËt V©n Th¸nh C« Y	0	100	3139	30	40000	0	250	23;35					433	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	8	0					
DiÖu D­¬ng-PhËt TrÇn Th¸nh C« Y	0	100	3140	30	40000	0	250	30;30					434	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	9	0					
DiÖu D­¬ng-PhËt TrÇn Th¸nh C« Y	0	100	3141	30	40000	0	250	30;30					435	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	9	0					
DiÖu D­¬ng-Trôc Phông Thiªn C¸i Y	0	100	3142	30	40000	0	250	35;23					436	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	11	0					
DiÖu D­¬ng-Trôc Phông Thiªn C¸i Y	0	100	3143	30	40000	0	250	35;23					437	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	11	0					
DiÖu D­¬ng-Trôc Phông Thiªn C¸i Y	0	100	3144	30	40000	0	250	35;23					438	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	11	0					
DiÖu D­¬ng-Trôc Phông Thiªn C¸i Y	0	100	3145	30	40000	0	250	35;23					439	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	11	0					
DiÖu D­¬ng-Du Long §Şa KhÊt Y	0	100	3146	30	40000	0	250	30;30					440	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	12	0					
DiÖu D­¬ng-Du Long §Şa KhÊt Y	0	100	3147	30	40000	0	250	30;30					441	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	12	0					
DiÖu D­¬ng-Du Long §Şa KhÊt Y	0	100	3148	30	40000	0	250	30;30					442	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	12	0					
DiÖu D­¬ng-Du Long §Şa KhÊt Y	0	100	3149	30	40000	0	250	30;30					443	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	12	0					
DiÖu D­¬ng-V« Cùc Thiªn T«n Bµo	0	100	3150	30	40000	0	250	23;35					444	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	14	0					
DiÖu D­¬ng-V« Cùc Thiªn T«n Bµo	0	100	3151	30	40000	0	250	23;35					445	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	14	0					
DiÖu D­¬ng-V« Cùc Thiªn T«n Bµo	0	100	3152	30	40000	0	250	23;35					446	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	14	0					
DiÖu D­¬ng-V« Cùc Thiªn T«n Bµo	0	100	3153	30	40000	0	250	23;35					447	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	14	0					
DiÖu D­¬ng-Bİch L¹c Thiªn T«n Bµo	0	100	3154	30	40000	0	250	30;30					448	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	15	0					
DiÖu D­¬ng-Bİch L¹c Thiªn T«n Bµo	0	100	3155	30	40000	0	250	30;30					449	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	15	0					
DiÖu D­¬ng-Bİch L¹c Thiªn T«n Bµo	0	100	3156	30	40000	0	250	30;30					450	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	15	0					
DiÖu D­¬ng-Bİch L¹c Thiªn T«n Bµo	0	100	3157	30	40000	0	250	30;30					451	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	15	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Gi¸p	0	100	3158	30	40000	0	250	23;35					452	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Gi¸p	0	100	3159	30	40000	0	250	23;35					453	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Gi¸p	0	100	3160	30	40000	0	250	23;35					454	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Gi¸p	0	100	3161	30	40000	0	250	23;35					455	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Gi¸p	0	100	3162	30	40000	0	250	23;35					456	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Gi¸p	0	100	3163	30	40000	0	250	23;35					457	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÄĞÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Gi¸p	0	100	3164	30	40000	0	250	23;35					458	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Gi¸p	0	100	3165	30	40000	0	250	23;35					459	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa1.spr	\image\item\cloth\»ÆÉ«ÃÅ»áÅ®ÒÂa0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÒÂ	§· khãa		9	2	1	18	0					
