Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThÊt TŞch-ngo¹i trang khè 	0	110	30031	10	0	0	120							1	2	3		\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Pháng chÕ theo trang bŞ ThÊt TŞch thêi trang	ĞÔ¸ĞÅ®ÆßÏ¦×°	Ngo¹i trang		1	0	1		1					
ThÊt TŞch-ngo¹i trang khè 	0	110	30032	10	0	0	120							1	2	4		\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Pháng chÕ theo trang bŞ ThÊt TŞch thêi trang	½¿Ğ¡Å®ÆßÏ¦×°	Ngo¹i trang		1	0	1		1					
Vâ L©m B¸ Chñ trang	0	101	30025	50	200000	0	120	30;30					30068	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Chøng minh cña Vâ L©m B¸ Chñ	±ê×¼ÄĞÆßÏ¦×°	§· khãa		9	1	1		0					
Vâ L©m B¸ Chñ trang	0	101	30026	50	200000	0	120	30;30					30069	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Chøng minh cña Vâ L©m B¸ Chñ	¿ıÎàÄĞÆßÏ¦×°	§· khãa		9	1	1		0					
Vâ L©m B¸ Chñ trang	0	101	30027	50	200000	0	120	30;30					30070	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Chøng minh cña Vâ L©m B¸ Chñ	ĞÔ¸ĞÅ®ÆßÏ¦×°	§· khãa		9	1	1		0					
Vâ L©m B¸ Chñ trang	0	101	30028	50	200000	0	120	30;30					30071	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÆßÏ¦×°¿ãa1.spr	\image\item\shoe\ÆßÏ¦×°¿ãa0.spr	Chøng minh cña Vâ L©m B¸ Chñ	½¿Ğ¡Å®ÆßÏ¦×°	§· khãa		9	1	1		0					
Tèng Th­¬ng ¦ng §« Thèng trang 	0	101	30029	50	100000	0	100	30;30					30072	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	±ê×¼ÄĞÃµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng Th­¬ng ¦ng §« Thèng trang 	0	101	30030	50	100000	0	100	30;30					30073	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	¿ıÎàÄĞÃµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng Th­¬ng ¦ng §« Thèng trang 	0	101	30031	50	100000	0	100	30;30					30074	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	ĞÔ¸ĞÅ®Ãµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng Th­¬ng ¦ng §« Thèng trang 	0	101	30032	50	100000	0	100	30;30					30075	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	½¿Ğ¡Å®Ãµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Tèng Th­¬ng ¦ng T­íng Qu©n trang	0	101	30033	50	200000	0	120	35;35					30076	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-±ê×¼ÄĞ¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-±ê×¼ÄĞ¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	±ê×¼ÄĞ»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Th­¬ng ¦ng T­íng Qu©n trang	0	101	30034	50	200000	0	120	35;35					30077	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-±ëº·ÄĞ¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-±ëº·ÄĞ¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	¿ıÎàÄĞ»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Th­¬ng ¦ng T­íng Qu©n trang	0	101	30035	50	200000	0	120	35;35					30078	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-ĞÔ¸ĞÅ®¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-ĞÔ¸ĞÅ®¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	ĞÔ¸ĞÅ®»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Th­¬ng ¦ng T­íng Qu©n trang	0	101	30036	50	200000	0	120	35;35					30079	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-½¿Ğ¡Å®¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-½¿Ğ¡Å®¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	½¿Ğ¡Å®»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Th­¬ng ¦ng So¸i trang 	0	101	30037	50	500000	0	150	40;40					30080	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	±ê×¼ÄĞÌì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i trang 	0	101	30038	50	500000	0	150	40;40					30081	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	¿ıÎàÄĞÌì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i trang 	0	101	30039	50	500000	0	150	40;40					30082	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	ĞÔ¸ĞÅ®Ìì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Tèng Th­¬ng ¦ng So¸i trang 	0	101	30040	50	500000	0	150	40;40					30083	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	½¿Ğ¡Å®Ìì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng §« Thèng trang	0	101	30041	50	100000	0	100	30;30					30084	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	±ê×¼ÄĞÃµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu Th­¬ng ¦ng §« Thèng trang	0	101	30042	50	100000	0	100	30;30					30085	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	¿ıÎàÄĞÃµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu Th­¬ng ¦ng §« Thèng trang	0	101	30043	50	100000	0	100	30;30					30086	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	ĞÔ¸ĞÅ®Ãµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu Th­¬ng ¦ng §« Thèng trang	0	101	30044	50	100000	0	100	30;30					30087	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Th­¬ng ¦ng ThÇn ban cho §« Thèng trang 	½¿Ğ¡Å®Ãµ¹å×°	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n trang 	0	101	30045	50	200000	0	120	35;35					30088	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-±ê×¼ÄĞ¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-±ê×¼ÄĞ¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	±ê×¼ÄĞ»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n trang 	0	101	30046	50	200000	0	120	35;35					30089	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-±ëº·ÄĞ¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-±ëº·ÄĞ¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	¿ıÎàÄĞ»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n trang 	0	101	30047	50	200000	0	120	35;35					30090	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-ĞÔ¸ĞÅ®¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-ĞÔ¸ĞÅ®¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	ĞÔ¸ĞÅ®»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng T­íng Qu©n trang 	0	101	30048	50	200000	0	120	35;35					30091	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\½ğ¼××°-½¿Ğ¡Å®¿ã×Óa1.spr	\image\item\shoe\½ğ¼××°-½¿Ğ¡Å®¿ã×Óa0.spr	Th­¬ng ¦ng ThÇn ban cho T­íng Qu©n trang 	½¿Ğ¡Å®»ªÀö×°	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Th­¬ng ¦ng So¸i trang	0	101	30049	50	500000	0	150	40;40					30092	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	±ê×¼ÄĞÌì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i trang	0	101	30050	50	500000	0	150	40;40					30093	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	¿ıÎàÄĞÌì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i trang	0	101	30051	50	500000	0	150	40;40					30094	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	ĞÔ¸ĞÅ®Ìì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Liªu Th­¬ng ¦ng So¸i trang	0	101	30052	50	500000	0	150	40;40					30095	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Th­¬ng ¦ng ThÇn ban cho So¸i trang 	½¿Ğ¡Å®Ìì²¨ÆÆÕó×°	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0					
Ngo¹i trang n¨m míi h¹ trang	0	110	30033	10	0	0	120							1	1	1		\image\item\shoe\m2_le_005a1.spr	\image\item\shoe\m2_le_005a0.spr	Ngo¹i trang ®­îc ®Æc chÕ tõ Tiªu Y Ph­¬ng.	±ê×¼ÄĞÊ¥µ®×°	Ngo¹i trang		1	0	1		1					
Ngo¹i trang n¨m míi h¹ trang	0	110	30034	10	0	0	120							1	1	2		\image\item\shoe\m1_le_005a1.spr	\image\item\shoe\m1_le_005a0.spr	Ngo¹i trang ®­îc ®Æc chÕ tõ Tiªu Y Ph­¬ng.	¿ıÎàÄĞÊ¥µ®×°	Ngo¹i trang		1	0	1		1					
Ngo¹i trang n¨m míi h¹ trang	0	110	30035	10	0	0	120							1	2	3		\image\item\shoe\f2_le_005a1.spr	\image\item\shoe\f2_le_005a0.spr	Ngo¹i trang ®­îc ®Æc chÕ tõ Tiªu Y Ph­¬ng.	ĞÔ¸ĞÅ®Ê¥µ®×°	Ngo¹i trang		1	0	1		1					
Ngo¹i trang n¨m míi h¹ trang	0	110	30036	10	0	0	120							1	2	4		\image\item\shoe\f1_le_005a1.spr	\image\item\shoe\f1_le_005a0.spr	Ngo¹i trang ®­îc ®Æc chÕ tõ Tiªu Y Ph­¬ng.	½¿Ğ¡Å®Ê¥µ®×°	Ngo¹i trang		1	0	1		1					
Hång S©m trang	0	110	630	10	0	0	120							1	1	1		\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Hång S©m nguån lùc huyÒn bİ v« song.	±ê×¼ÄĞÃµ¹å×°	Ngo¹i trang		1	2	1		1					
Hång S©m trang	0	110	631	10	0	0	120							1	1	2		\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa1.spr	\image\item\shoe\Ãµ¹å×°ÄĞ¿ãa0.spr	Hång S©m nguån lùc huyÒn bİ v« song.	¿ıÎàÄĞÃµ¹å×°	Ngo¹i trang		1	2	1		1					
Hång S©m trang	0	110	632	10	0	0	120							1	2	3		\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Hång S©m nguån lùc huyÒn bİ v« song.	ĞÔ¸ĞÅ®Ãµ¹å×°	Ngo¹i trang		1	2	1		1					
Hång S©m trang	0	110	633	10	0	0	120							1	2	4		\image\item\shoe\Ãµ¹å×°Å®¿ãa1.spr	\image\item\shoe\Ãµ¹å×°Å®¿ãa0.spr	Hång S©m nguån lùc huyÒn bİ v« song.	½¿Ğ¡Å®Ãµ¹å×°	Ngo¹i trang		1	2	1		1					
Thiªn Ba Ph¸ TrËn h¹ y	0	110	676	10	0	0	120							1	1	1		\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Hiªn ngang hïng dòng, oai phong lÉm liÖt	±ê×¼ÄĞÌì²¨ÆÆÕó×°	Ngo¹i trang		1	2	1		1					
Thiªn Ba Ph¸ TrËn h¹ y	0	110	677	10	0	0	120							1	1	2		\image\item\shoe\Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Ìì²¨ÆÆÕó¿ãa1.spr	Hiªn ngang hïng dòng, oai phong lÉm liÖt	¿ıÎàÄĞÌì²¨ÆÆÕó×°	Ngo¹i trang		1	2	1		1					
Thiªn Ba Ph¸ TrËn h¹ y	0	110	678	10	0	0	120							1	2	3		\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Hiªn ngang hïng dòng, oai phong lÉm liÖt	ĞÔ¸ĞÅ®Ìì²¨ÆÆÕó×°	Ngo¹i trang		1	2	1		1					
Thiªn Ba Ph¸ TrËn h¹ y	0	110	679	10	0	0	120							1	2	4		\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa0.spr	\image\item\shoe\Å®Ìì²¨ÆÆÕó¿ãa1.spr	Hiªn ngang hïng dòng, oai phong lÉm liÖt	½¿Ğ¡Å®Ìì²¨ÆÆÕó×°	Ngo¹i trang		1	2	1		1					
¢m Hån Kim Khè	0	110	680	10	0	0	360							1	1	1		\image\item\shoe\÷ö»êöÌ½ğ¿ãa0.spr	\image\item\shoe\÷ö»êöÌ½ğ¿ãa1.spr	Thiªn Hån T­ ¢m, Hoang Háa Kim.	±ê×¼ÄĞ÷ö»êöÌ½ğ×°	Ngo¹i trang		1	2	1		1					
¢m Hån Kim Khè	0	110	681	10	0	0	360							1	1	2		\image\item\shoe\÷ö»êöÌ½ğ¿ãa0.spr	\image\item\shoe\÷ö»êöÌ½ğ¿ãa1.spr	Thiªn Hån T­ ¢m, Hoang Háa Kim.	¿ıÎàÄĞ÷ö»êöÌ½ğ×°	Ngo¹i trang		1	2	1		1					
¢m Hån Kim Khè	0	110	682	10	0	0	360							1	2	3		\image\item\shoe\Å®÷ö»êöÌ½ğ¿ãa0.spr	\image\item\shoe\Å®÷ö»êöÌ½ğ¿ãa1.spr	Thiªn Hån T­ ¢m, Hoang Háa Kim.	ĞÔ¸ĞÅ®÷ö»êöÌ½ğ×°	Ngo¹i trang		1	2	1		1					
¢m Hån Kim Khè	0	110	683	10	0	0	360							1	2	4		\image\item\shoe\Å®÷ö»êöÌ½ğ¿ãa0.spr	\image\item\shoe\Å®÷ö»êöÌ½ğ¿ãa1.spr	Thiªn Hån T­ ¢m, Hoang Háa Kim.	½¿Ğ¡Å®÷ö»êöÌ½ğ×°	Ngo¹i trang		1	2	1		1					
Thanh Minh Bµo	0	110	684	10	0	0	360							1	1	1		\image\item\shoe\m1_le_002a1.spr	\image\item\shoe\m1_le_002a0.spr	Håi thñ mé v©n viÔn, phi nhø gi¶o thanh minh	±ê×¼ÄĞ·ÉĞõÇàÚ¤ÅÛ	Ngo¹i trang		1	0	1		1					
Thanh Minh Bµo	0	110	685	10	0	0	360							1	1	2		\image\item\shoe\m2_le_002a1.spr	\image\item\shoe\m2_le_002a0.spr	Håi thñ mé v©n viÔn, phi nhø gi¶o thanh minh	¿ıÎàÄĞ·ÉĞõÇàÚ¤ÅÛ	Ngo¹i trang		1	0	1		1					
Thanh Minh Bµo	0	110	686	10	0	0	360							1	2	3		\image\item\shoe\f2_le_002a1.spr	\image\item\shoe\f2_le_002a0.spr	Håi thñ mé v©n viÔn, phi nhø gi¶o thanh minh	ĞÔ¸ĞÅ®·ÉĞõÇàÚ¤ÅÛ	Ngo¹i trang		1	0	1		1					
Thanh Minh Bµo	0	110	687	10	0	0	360							1	2	4		\image\item\shoe\f1_le_002a1.spr	\image\item\shoe\f1_le_002a0.spr	Håi thñ mé v©n viÔn, phi nhø gi¶o thanh minh	½¿Ğ¡Å®·ÉĞõÇàÚ¤ÅÛ	Ngo¹i trang		1	0	1		1					
ThiÕu Niªn Du (h¹ trang)	0	110	721	10	0	0	360							1	1	1		\image\item\shoe\ÉÙÄêÓÎÄĞ×°1ÏÂ×°a1.spr	\image\item\shoe\ÉÙÄêÓÎÄĞ×°1ÏÂ×°a0.spr	Quy v©n nhÊt khø v« tung tİch, bÊt tù thiÕu niªn thêi.	±ê×¼ÄĞÉÙÄêÓÎ£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
ThiÕu Niªn Du (h¹ trang)	0	110	722	10	0	0	360							1	1	2		\image\item\shoe\ÉÙÄêÓÎÄĞ×°2ÏÂ×°a1.spr	\image\item\shoe\ÉÙÄêÓÎÄĞ×°2ÏÂ×°a0.spr	Quy v©n nhÊt khø v« tung tİch, bÊt tù thiÕu niªn thêi.	¿ıÎàÄĞÉÙÄêÓÎ£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
ThiÕu Niªn Du (h¹ trang)	0	110	723	10	0	0	360							1	2	3		\image\item\shoe\ÉÙÄêÓÎÅ®×°1ÏÂ×°a1.spr	\image\item\shoe\ÉÙÄêÓÎÅ®×°1ÏÂ×°a0.spr	Quy v©n nhÊt khø v« tung tİch, bÊt tù thiÕu niªn thêi.	ĞÔ¸ĞÅ®ÉÙÄêÓÎ£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
ThiÕu Niªn Du (h¹ trang)	0	110	724	10	0	0	360							1	2	4		\image\item\shoe\ÉÙÄêÓÎÅ®×°2ÏÂ×°a1.spr	\image\item\shoe\ÉÙÄêÓÎÅ®×°2ÏÂ×°a0.spr	Quy v©n nhÊt khø v« tung tİch, bÊt tù thiÕu niªn thêi.	½¿Ğ¡Å®ÉÙÄêÓÎ£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
T­¬ng KiÕn Huan (h¹ trang)	0	110	725	10	0	0	360							1	1	1		\image\item\shoe\m1_le_007a1.spr	\image\item\shoe\m1_le_007a0.spr	T­¬ng kiÕn nhÊt tiÕu, méng c¶nh thïy ®ång?	±ê×¼ÄĞÏà¼û»¶£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
T­¬ng KiÕn Huan (h¹ trang)	0	110	726	10	0	0	360							1	1	2		\image\item\shoe\m2_le_007a1.spr	\image\item\shoe\m2_le_007a0.spr	T­¬ng kiÕn nhÊt tiÕu, méng c¶nh thïy ®ång?	¿ıÎàÄĞÏà¼û»¶£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
T­¬ng KiÕn Huan (h¹ trang)	0	110	727	10	0	0	360							1	2	3		\image\item\shoe\f1_le_007a1.spr	\image\item\shoe\f1_le_007a0.spr	T­¬ng kiÕn nhÊt tiÕu, méng c¶nh thïy ®ång?	ĞÔ¸ĞÅ®Ïà¼û»¶£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
T­¬ng KiÕn Huan (h¹ trang)	0	110	728	10	0	0	360							1	2	4		\image\item\shoe\f2_le_007a1.spr	\image\item\shoe\f2_le_007a0.spr	T­¬ng kiÕn nhÊt tiÕu, méng c¶nh thïy ®ång?	½¿Ğ¡Å®Ïà¼û»¶£¨ÏÂ×°£©	Ngo¹i trang		1	2	1		1					
ChiÕn Cuång Thiªn §Şa Trang	0	101	30143	30	40000	0	200	29;17					31166	70	1	1		\image\item\shoe\m1_le_006a1.spr	\image\item\shoe\m1_le_006a0.spr	§¾c chi ng· h¹nh, thÊt chi ng· mÖnh.	±ê×¼ÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	2	0					
ChiÕn Cuång Thiªn §Şa Trang	0	101	30144	30	40000	0	200	29;17					31167	70	1	2		\image\item\shoe\m2_le_006a1.spr	\image\item\shoe\m2_le_006a0.spr	§¾c chi ng· h¹nh, thÊt chi ng· mÖnh.	¿ıÎàÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	2	0					
ChiÕn Cuång Thiªn T«n Trang	0	101	30145	30	40000	0	200	17;29					31168	70	1	1		\image\item\shoe\m1_le_006a1.spr	\image\item\shoe\m1_le_006a0.spr	ChiÕn v« h­u nhi hoÆc bÊt tøc, ng« bèi hµ dÜ vi chiÕn. 	±ê×¼ÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	4	0					
ChiÕn Cuång Thiªn T«n Trang	0	101	30146	30	40000	0	200	17;29					31169	70	1	2		\image\item\shoe\m2_le_006a1.spr	\image\item\shoe\m2_le_006a0.spr	ChiÕn v« h­u nhi hoÆc bÊt tøc, ng« bèi hµ dÜ vi chiÕn. 	¿ıÎàÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	4	0					
ChiÕn Cuång Phæ TÕ Trang	0	101	30147	30	40000	0	200	29;17					31170	70	1	1		\image\item\shoe\m1_le_006a1.spr	\image\item\shoe\m1_le_006a0.spr	Trang bŞ do Phæ HiÒn ®¹o nh©n tßng tø th¸nh chi nhÊt truyÒn l¹i.	±ê×¼ÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	3	0					
ChiÕn Cuång Phæ TÕ Trang	0	101	30148	30	40000	0	200	29;17					31171	70	1	2		\image\item\shoe\m2_le_006a1.spr	\image\item\shoe\m2_le_006a0.spr	Trang bŞ do Phæ HiÒn ®¹o nh©n tßng tø th¸nh chi nhÊt truyÒn l¹i.	¿ıÎàÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	3	0					
ChiÕn Cuång TuyÖt MÖnh Trang	0	101	30149	30	40000	0	200	25;25					31172	70	1	1		\image\item\shoe\m1_le_006a1.spr	\image\item\shoe\m1_le_006a0.spr	Trang bŞ sö dông cèt ®Çu nghiªn ma cña th­îng cæ chi long t¹o thµnh.	±ê×¼ÄĞ³½ÉßÔÚËê×°	§· khãa		9	2	1	6	0					
