Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Kh«i	0	103	3158	30	40000	0	200	23;23					324	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Kh«i	0	103	3159	30	40000	0	200	23;23					325	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Kh«i	0	103	3160	30	40000	0	200	23;23					326	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Kh«i	0	103	3161	30	40000	0	200	23;23					327	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	17	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Kh«i	0	103	3162	30	40000	0	200	17;25					328	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Kh«i	0	103	3163	30	40000	0	200	17;25					329	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Kh«i	0	103	3164	30	40000	0	200	17;25					330	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Kh«i	0	103	3165	30	40000	0	200	17;25					331	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	18	0					
DiÖu D­¬ng-Quû Xóc Tµ ThÇn C©n	0	103	3166	30	40000	0	200	23;23					332	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	20	0					
DiÖu D­¬ng-Quû Xóc Tµ ThÇn C©n	0	103	3167	30	40000	0	200	23;23					333	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	20	0					
DiÖu D­¬ng-Quû Xóc Tµ ThÇn C©n	0	103	3168	30	40000	0	200	23;23					334	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	20	0					
DiÖu D­¬ng-Quû Xóc Tµ ThÇn C©n	0	103	3169	30	40000	0	200	23;23					335	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	20	0					
DiÖu D­¬ng-Vu Cèt §éc V­¬ng C©n	0	103	3170	30	40000	0	200	17;25					336	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	21	0					
DiÖu D­¬ng-Vu Cèt §éc V­¬ng C©n	0	103	3171	30	40000	0	200	17;25					337	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	21	0					
DiÖu D­¬ng-Vu Cèt §éc V­¬ng C©n	0	103	3172	30	40000	0	200	17;25					338	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	21	0					
DiÖu D­¬ng-Vu Cèt §éc V­¬ng C©n	0	103	3173	30	40000	0	200	17;25					339	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	21	0					
DiÖu D­¬ng-BÊt §éng Ch©n Tiªn Qu¸n	0	103	3174	30	40000	0	200	17;25					340	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	C«n l«n th¸i nhÊt luyÖn ch©n tiªn, phong quyÓn l«i minh ®¹p tö v©n.	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	23	0					
DiÖu D­¬ng-BÊt §éng Ch©n Tiªn Qu¸n	0	103	3175	30	40000	0	200	17;25					341	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	C«n l«n th¸i nhÊt luyÖn ch©n tiªn, phong quyÓn l«i minh ®¹p tö v©n.	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	23	0					
DiÖu D­¬ng-Nhôc HuyÕt Cuång ChiÕn C©n	0	103	3176	30	40000	0	200	25;17					342	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	25	0					
DiÖu D­¬ng-Nhôc HuyÕt Cuång ChiÕn C©n	0	103	3177	30	40000	0	200	25;17					343	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	25	0					
DiÖu D­¬ng-Nhôc HuyÕt Cuång ChiÕn C©n	0	103	3178	30	40000	0	200	25;17					344	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	25	0					
DiÖu D­¬ng-Nhôc HuyÕt Cuång ChiÕn C©n	0	103	3179	30	40000	0	200	25;17					345	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	25	0					
DiÖu D­¬ng-Cöu Thiªn Quû Phï Qu¸n	0	103	3180	30	40000	0	200	23;23					346	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	26	0					
DiÖu D­¬ng-Cöu Thiªn Quû Phï Qu¸n	0	103	3181	30	40000	0	200	23;23					347	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	26	0					
DiÖu D­¬ng-Cöu Thiªn Quû Phï Qu¸n	0	103	3182	30	40000	0	200	23;23					348	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	26	0					
DiÖu D­¬ng-Cöu Thiªn Quû Phï Qu¸n	0	103	3183	30	40000	0	200	23;23					349	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	26	0					
DiÖu D­¬ng-Ma ¶nh ThÇn T«ng Qu¸n	0	103	3184	30	40000	0	200	23;23					350	1	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	±ê×¼ÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	27	0					
DiÖu D­¬ng-Ma ¶nh ThÇn T«ng Qu¸n	0	103	3185	30	40000	0	200	23;23					351	1	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÄĞÃ±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	¿ıÎàÄĞ×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	27	0					
DiÖu D­¬ng-Ma ¶nh ThÇn T«ng Qu¸n	0	103	3186	30	40000	0	200	23;23					352	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	27	0					
DiÖu D­¬ng-Ma ¶nh ThÇn T«ng Qu¸n	0	103	3187	30	40000	0	200	23;23					353	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	27	0					
DiÖu D­¬ng-Tª V©n Tiªn Tö Tr©m	0	103	3188	30	40000	0	200	23;23					354	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	29	0					
DiÖu D­¬ng-Tª V©n Tiªn Tö Tr©m	0	103	3189	30	40000	0	200	23;23					355	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	29	0					
DiÖu D­¬ng-Phi H¹ Tiªn Tö Tr©m	0	103	3190	30	40000	0	200	23;23					356	1	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	ĞÔ¸ĞÅ®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	30	0					
DiÖu D­¬ng-Phi H¹ Tiªn Tö Tr©m	0	103	3191	30	40000	0	200	23;23					357	1	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a1.spr	\image\item\cap\»ÆÉ«ÃÅ»áÅ®Ã±a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	½¿Ğ¡Å®×ÊÁÏÆ¬»ÆÍ·	§· khãa		9	2	1	30	0					
Tèng Ngù Long T­íng Qu©n Kh«i 	0	103	30017	30	200000	0	120	35;35					30039	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄĞÍ·¿øa1.spr	\image\item\cap\ÄĞÍ·¿øa0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	±ê×¼ÄĞ°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Ngù Long T­íng Qu©n Kh«i 	0	103	30018	30	200000	0	120	35;35					30040	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\mÃ±×Ó_36.spr	\image\item\cap\mÃ±×Ó_120.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	¿ıÎàÄĞ°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Ngù Long T­íng Qu©n Kh«i 	0	103	30019	30	200000	0	120	35;35					30041	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®Í·¿ø1a1.spr	\image\item\cap\Å®Í·¿ø1a0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	ĞÔ¸ĞÅ®°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tèng Ngù Long T­íng Qu©n Kh«i 	0	103	30020	30	200000	0	120	35;35					30042	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®Í·¿ø2a1.spr	\image\item\cap\Å®Í·¿ø2a0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	½¿Ğ¡Å®°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Ngù Long T­íng Qu©n Kh«i 	0	103	30021	30	200000	0	120	35;35					30043	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄĞÍ·¿øa1.spr	\image\item\cap\ÄĞÍ·¿øa0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	±ê×¼ÄĞ°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Ngù Long T­íng Qu©n Kh«i 	0	103	30022	30	200000	0	120	35;35					30044	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\mÃ±×Ó_36.spr	\image\item\cap\mÃ±×Ó_120.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	¿ıÎàÄĞ°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Ngù Long T­íng Qu©n Kh«i 	0	103	30023	30	200000	0	120	35;35					30045	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®Í·¿ø1a1.spr	\image\item\cap\Å®Í·¿ø1a0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	ĞÔ¸ĞÅ®°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Liªu Ngù Long T­íng Qu©n Kh«i 	0	103	30024	30	200000	0	120	35;35					30046	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®Í·¿ø2a1.spr	\image\item\cap\Å®Í·¿ø2a0.spr	Ngù Long T­íng Qu©n chİnh lµ linh hån cña tam qu©n, m·nh t­íng trªn trËn m¹c 	½¿Ğ¡Å®°×½ğ¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0					
Tinh Kh¾c-ngo¹i trang ®Çu	0	108	30017	10	0	0	120							1	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Pháng chÕ theo trang bŞ Tinh Kh¾c thêi trang	±ê×¼ÄĞÎäÁÖÃËÍ·	Ngo¹i trang		1	0	1		1					
Tinh Kh¾c-ngo¹i trang ®Çu	0	108	30018	10	0	0	120							1	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Pháng chÕ theo trang bŞ Tinh Kh¾c thêi trang	¿ıÎàÄĞÎäÁÖÃËÍ·	Ngo¹i trang		1	0	1		1					
Tinh Kh¾c-ngo¹i trang ®Çu	0	108	30019	10	0	0	120							1	2	3		\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Pháng chÕ theo trang bŞ Tinh Kh¾c thêi trang	ĞÔ¸ĞÅ®ÎäÁÖÃËÍ·	Ngo¹i trang		1	0	1		1					
Tinh Kh¾c-ngo¹i trang ®Çu	0	108	30020	10	0	0	120							1	2	4		\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Pháng chÕ theo trang bŞ Tinh Kh¾c thêi trang	½¿Ğ¡Å®ÎäÁÖÃËÍ·	Ngo¹i trang		1	0	1		1					
Thiªn NghÜa-ngo¹i trang ®Çu 	0	108	30021	10	0	0	120							1	1	1		\image\item\cap\Ãµ¹å±êÄĞ×°-Ã±×Óa1.spr	\image\item\cap\Ãµ¹å±êÄĞ×°-Ã±×Óa0.spr	Pháng chÕ theo trang bŞ Thiªn NghÜa thêi trang 	±ê×¼ÄĞÃµ¹åÍ·2	Ngo¹i trang		1	0	1		1					
Thiªn NghÜa-ngo¹i trang ®Çu 	0	108	30022	10	0	0	120							1	1	2		\image\item\cap\Ãµ¹å¿ıÎàÄĞ-Ã±×Óa1.spr	\image\item\cap\Ãµ¹å¿ıÎàÄĞ-Ã±×Óa0.spr	Pháng chÕ theo trang bŞ Thiªn NghÜa thêi trang 	¿ıÎàÄĞÃµ¹åÍ·2	Ngo¹i trang		1	0	1		1					
Thiªn NghÜa-ngo¹i trang ®Çu 	0	108	30023	10	0	0	120							1	2	3		\image\item\cap\Ãµ¹åĞÔ¸ĞÅ®-Ã±×Óa1.spr	\image\item\cap\Ãµ¹åĞÔ¸ĞÅ®-Ã±×Óa0.spr	Pháng chÕ theo trang bŞ Thiªn NghÜa thêi trang 	ĞÔ¸ĞÅ®Ãµ¹åÍ·2	Ngo¹i trang		1	0	1		1					
Thiªn NghÜa-ngo¹i trang ®Çu 	0	108	30024	10	0	0	120							1	2	4		\image\item\cap\Ãµ¹å½¿Ğ¡Å®-Ã±×Óa1.spr	\image\item\cap\Ãµ¹å½¿Ğ¡Å®-Ã±×Óa0.spr	Pháng chÕ theo trang bŞ Thiªn NghÜa thêi trang 	½¿Ğ¡Å®Ãµ¹åÍ·2	Ngo¹i trang		1	0	1		1					
Cöu Ch©u-ngo¹i trang ®Çu 	0	108	30025	10	0	0	120							1	1	1		\image\item\cap\ĞÂÄê×°Ã±×ÓÄĞa1.spr	\image\item\cap\ĞÂÄê×°Ã±×ÓÄĞa0.spr	Pháng chÕ theo trang bŞ Cöu Ch©u thêi trang	±ê×¼ÄĞ»¶Ï²Í·	Ngo¹i trang		1	0	1		1					
Cöu Ch©u-ngo¹i trang ®Çu 	0	108	30026	10	0	0	120							1	1	2		\image\item\cap\ĞÂÄê×°Ã±×ÓÄĞa1.spr	\image\item\cap\ĞÂÄê×°Ã±×ÓÄĞa0.spr	Pháng chÕ theo trang bŞ Cöu Ch©u thêi trang	¿ıÎàÄĞ»¶Ï²Í·	Ngo¹i trang		1	0	1		1					
Cöu Ch©u-ngo¹i trang ®Çu 	0	108	30027	10	0	0	120							1	2	3		\image\item\cap\ĞÂÄê×°Ã±×ÓÅ®a1.spr	\image\item\cap\ĞÂÄê×°Ã±×ÓÅ®a0.spr	Pháng chÕ theo trang bŞ Cöu Ch©u thêi trang	ĞÔ¸ĞÅ®»¶Ï²Í·	Ngo¹i trang		1	0	1		1					
Cöu Ch©u-ngo¹i trang ®Çu 	0	108	30028	10	0	0	120							1	2	4		\image\item\cap\ĞÂÄê×°Ã±×ÓÅ®a1.spr	\image\item\cap\ĞÂÄê×°Ã±×ÓÅ®a0.spr	Pháng chÕ theo trang bŞ Cöu Ch©u thêi trang	½¿Ğ¡Å®»¶Ï²Í·	Ngo¹i trang		1	0	1		1					
ThÊt TŞch-ngo¹i trang ®Çu 	0	108	30029	10	0	0	120							1	1	1		\image\item\cap\ÆßÏ¦×°Ã±a1.spr	\image\item\cap\ÆßÏ¦×°Ã±a0.spr	Pháng chÕ theo trang bŞ ThÊt TŞch thêi trang	±ê×¼ÄĞÆßÏ¦Í·	Ngo¹i trang		1	0	1		1					
